taxid,name,rank
"2056885","Cacao swollen shoot Ghana Q virus","species"
"1960254","Cacao swollen shoot Togo A virus","species"
"31559","Cacao swollen shoot virus","species"
"2169726","Cacao yellow vein banding virus","species"
"2697535","Camellia lemon glow virus","species"
"2560371","Canna yellow mottle associated virus","species"
"419782","Canna yellow mottle virus","species"
"174178","Citrus yellow mosaic virus","species"
"10653","Commelina yellow mottle virus","species"
"549205","Cycad leaf necrosis virus","species"
"1619899","Dioscorea bacilliform AL virus","species"
"2169727","Dioscorea bacilliform RT virus 1","species"
"2011125","Dioscorea bacilliform RT virus 2","species"
"2169728","Dioscorea bacilliform TR virus","species"
"380669","Dracaena mottle virus","species"
"1034096","Fig badnavirus 1","species"
"157270","Gooseberry vein banding associated virus","species"
"1471299","Grapevine Roditis leaf discoloration-associated virus","species"
"2052838","Grapevine badnavirus 1","species"
"1050407","Grapevine vein clearing virus","species"
"2731270","Ivy ringspot-associated virus","species"
"2020956","Jujube mosaic-associated virus","species"
"218387","Kalanchoe top-spotting virus","species"
"1227557","Mulberry badnavirus 1","species"
"1505530","Pagoda yellow mosaic associated virus","species"
"2033633","Pineapple bacilliform CO virus","species"
"2034763","Pineapple bacilliform ER virus","species"
"262957","Piper yellow mottle virus","species"
"2528410","Polyscias mosaic virus","species"
"198310","Rubus yellow net virus","species"
"2169729","Schefflera ringspot virus","species"
"157271","Spiraea yellow leafspot virus","species"
"1960252","Sugarcane bacilliform Guadeloupe A virus","species"
"1960253","Sugarcane bacilliform Guadeloupe D virus","species"
"362398","Sugarcane bacilliform IM virus","species"
"362399","Sugarcane bacilliform MO virus","species"
"2034762","Sweet potato pakakuy virus","species"
"1634914","Taro bacilliform CH virus","species"
"178354","Taro bacilliform virus","species"
"1973265","Wisteria badnavirus 1","species"
"1561150","Yacon necrotic mottle virus","species"
"1016852","Banana streak CA virus","species"
"69577","Banana streak virus","species"
"334778","Banana streak virus Acuminata Yunnan","genome"
"2056878","Cacao Bacilliform SriLanka Virus","species"
"2056880","Cacao swollen shoot Ghana J virus","species"
"2056881","Cacao swollen shoot Ghana K virus","species"
"2056882","Cacao swollen shoot Ghana L virus","species"
"2056886","Cacao swollen shoot Ghana R virus","species"
"52996","Dioscorea bacilliform virus","species"
"1459800","Hibiscus bacilliform virus GD1","species"
"671126","Pelargonium vein banding virus","species"
"647294","Sweet potato badnavirus B","species"
"10639","Caulimovirus","genus"
"1808970","Angelica bushy stunt virus","species"
"1711685","Atractylodes mild mottle virus","species"
"10640","Carnation etched ring virus","species"
"10641","Cauliflower mosaic virus","species"
"213888","Dahlia mosaic virus","species"
"10649","Figwort mosaic virus","species"
"264076","Horseradish latent virus","species"
"515320","Lamium leaf distortion virus","species"
"194445","Mirabilis mosaic virus","species"
"1221449","Soybean Putnam virus","species"
"47903","Strawberry vein banding virus","species"
"515444","Eupatorium vein clearing virus","species"
"186533","Cavemovirus","genus"
"38062","Cassava vein mosaic virus","species"
"2713640","Epiphyllum virus 4","species"
"930168","Sweet potato collusive virus","species"
"2733292","Dioscovirus","genus"
"2734563","Dioscorea nummularia associated virus","species"
"2303485","Dioscorea nummularia-associated virus","genome"
"186845","Petuvirus","genus"
"59504","Petunia vein clearing virus","species"
"1748295","Rosadnavirus","genus"
"1213588","Rose yellow vein virus","species"
"2843011","Ruflodivirus","genus"
"587370","Rudbeckia flower distortion virus","species"
"1232640","Solendovirus","genus"
"995049","Sweet potato vein clearing virus","species"
"107324","Tobacco vein clearing virus","species"
"187214","Soymovirus","genus"
"172220","Blueberry red ringspot virus","species"
"175814","Cestrum yellow leaf curling virus","species"
"35593","Peanut chlorotic streak virus","species"
"10651","Soybean chlorotic mottle virus","species"
"1848040","Water chestnut soymovirus 1","species"
"187212","Tungrovirus","genus"
"10654","Rice tungro bacilliform virus","species"
"2733293","Vaccinivirus","genus"
"1751715","Blueberry fruit drop associated virus","species"
"2267679","Pinus nigra virus 1","species"
"186665","Metaviridae","family"
"186666","Errantivirus","genus"
"2083181","Trichoplusia ni TED virus","species"
"186667","Metavirus","genus"
"2052899","Cladosporium fulvum T-1 virus","species"
"11632","Retroviridae","family"
"153057","Alpharetrovirus","genus"
"11864","Avian leukosis virus","species"
"11946","Avian leukemia virus","genome"
"363745","Avian leukosis virus - RSA","genome"
"11866","Avian myeloblastosis virus","species"
"11878","Avian sarcoma virus CT10","species"
"11885","Fujinami sarcoma virus","species"
"11886","Rous sarcoma virus","species"
"354090","UR2 sarcoma virus","species"
"11884","Y73 sarcoma virus","species"
"11958","Avian carcinoma virus","species"
"11867","Avian myelocytomatosis virus","species"
"140052","Betaretrovirus","genus"
"11746","Jaagsiekte sheep retrovirus","species"
"363747","Langur virus","species"
"240594","Endogenous langur type D retrovirus PO-1-Lu","genome"
"11855","Mason-Pfizer monkey virus","species"
"11757","Mouse mammary tumor virus","species"
"11856","Squirrel monkey retrovirus","species"
"1822365","Bovine retrovirus CH15","species"
"1622024","Desmodus rotundus endogenous retrovirus","species"
"239365","Enzootic nasal tumour virus of goats","species"
"69576","Ovine enzootic nasal tumor virus","species"
"723802","Simian retrovirus 4","species"
"1904439","Simian retrovirus 8","species"
"153136","Deltaretrovirus","genus"
"11901","Bovine leukemia virus","species"
"194440","Primate T-lymphotropic virus 1","species"
"11908","Human T-cell leukemia virus type I","genome"
"194441","Primate T-lymphotropic virus 2","species"
"11909","Human T-lymphotropic virus 2","genome"
"33748","Simian T-lymphotropic virus 2","genome"
"194443","Primate T-lymphotropic virus 3","species"
"318279","Human T-lymphotropic virus 4","species"
"481147","Simian T-cell lymphotropic virus 6","species"
"153137","Epsilonretrovirus","genus"
"39720","Walleye dermal sarcoma virus","species"
"64462","Walleye epidermal hyperplasia virus 1","species"
"64461","Walleye epidermal hyperplasia virus 2","species"
"153135","Gammaretrovirus","genus"
"353768","Chick syncytial virus","species"
"11768","Feline leukemia virus","species"
"353765","Finkel-Biskis-Jinkins murine sarcoma virus","species"
"11840","Gibbon ape leukemia virus","species"
"39746","Hardy-Zuckerman feline sarcoma virus","species"
"11777","Feline sarcoma virus (STRAIN HARDY-ZUCKERMAN 4)","genome"
"11807","Harvey murine sarcoma virus","species"
"11808","Kirsten murine sarcoma virus","species"
"394239","Koala retrovirus","species"
"11809","Moloney murine sarcoma virus","species"
"11786","Murine leukemia virus","species"
"11795","Friend murine leukemia virus","genome"
"11801","Moloney murine leukemia virus","genome"
"44561","Murine type C retrovirus","genome"
"11636","Reticuloendotheliosis virus","species"
"11970","Woolly monkey sarcoma virus","species"
"11788","Abelson murine leukemia virus","species"
"196403","Baboon endogenous virus","species"
"11764","Baboon endogenous virus strain M7","genome"
"99182","Murine leukemia-related retroviruses","species"
"1038068","PreXMRV-1","genome"
"11830","Murine osteosarcoma virus","species"
"590745","Mus musculus mobilized endogenous polytropic provirus","species"
"11834","RD114 retrovirus","species"
"11819","Spleen focus-forming virus","species"
"11646","Lentivirus","genus"
"11657","Bovine immunodeficiency virus","species"
"11660","Caprine arthritis encephalitis virus","species"
"11665","Equine infectious anemia virus","species"
"11673","Feline immunodeficiency virus","species"
"11676","Human immunodeficiency virus 1","species"
"11709","Human immunodeficiency virus 2","species"
"36370","Jembrana disease virus","species"
"12804","Puma lentivirus","species"
"32615","Puma lentivirus 14","genome"
"11723","Simian immunodeficiency virus","species"
"159122","Simian immunodeficiency virus SIV-mnd 2","genome"
"2169971","Visna-maedi virus","species"
"11663","Ovine lentivirus","species"
"40270","Snakehead retrovirus","species"
"2169664","Bovispumavirus","genus"
"207343","Bovine foamy virus","species"
"2169665","Equispumavirus","genus"
"109270","Equine foamy virus","species"
"2169666","Felispumavirus","genus"
"53182","Feline foamy virus","species"
"2169894","Puma feline foamy virus","species"
"2169667","Prosimiispumavirus","genus"
"2170139","Brown greater galago prosimian foamy virus","species"
"2169668","Simiispumavirus","genus"
"2170193","Bornean orangutan simian foamy virus","species"
"221703","Simian foamy virus Pongo pygmaeus pygmaeus","genome"
"2170194","Central cimpanzee simian foamy virus","species"
"2170195","Eastern chimpanzee simian foamy virus","species"
"2170197","Guenon simian foamy virus","species"
"2170198","Japanese macaque simian foamy virus","species"
"2170199","Rhesus macaque simian foamy virus","species"
"2170200","Spider monkey simian foamy virus","species"
"2170201","Squirrel monkey simian foamy virus","species"
"2170204","Western lowland gorilla simian foamy virus","species"
"2170205","White-tufted-ear marmoset simian foamy virus","species"
"2170206","Yellow-breasted capuchin simian foamy virus","species"
"11640","Spumavirus","genus"
"338079","African green monkey simian foamy virus","species"
"11642","Simian foamy virus","species"
"348296","Atlantic salmon swim bladder sarcoma virus","species"
"93465","Avian endogenous retrovirus EAV-HP","species"
"1435008","Citrus endogenous pararetrovirus","species"
"45617","Human endogenous retrovirus K","species"
"166122","Human endogenous retrovirus K113","genome"
"2320522","Saesbyeol virus","species"
"204873","Xenopus laevis endogenous retrovirus Xen1","species"
"2732405","Duplornaviricota","phylum"
"2732458","Chrymotiviricetes","class"
"2732540","Ghabrivirales","order"
"249310","Chrysoviridae","family"
"2560087","Alphachrysovirus","genus"
"2560296","Alphachrysovirus anthurii","species"
"664255","Anthurium mosaic-associated virus","genome"
"607716","Alphachrysovirus aspergilli","species"
"2560353","Alphachrysovirus brassicae","species"
"1692191","Brassica campestris chrysovirus 1","genome"
"284687","Alphachrysovirus cerasi","species"
"2560390","Alphachrysovirus colletotrichi","species"
"1766766","Colletotrichum gloeosporioides chrysovirus 1","genome"
"2560531","Alphachrysovirus isariae","species"
"1930960","Isaria javanica chrysovirus 1","genome"
"2560574","Alphachrysovirus macrophominae","species"
"1708483","Macrophomina phaseolina chrysovirus 1","genome"
"2560701","Alphachrysovirus raphani","species"
"1162393","Raphanus sativas chrysovirus 1","genome"
"2560765","Alphachrysovirus shuangaoense","species"
"1923465","Shuangao chryso-like virus 1","genome"
"2955249","Alphachrysovirus verticillii","species"
"759389","Verticillium dahliae chrysovirus 1","genome"
"2682569","Chrysothrix chrysovirus 1","species"
"399394","Cryphonectria nitschkei chrysovirus 1","species"
"434898","Fusarium oxysporum chrysovirus 1","species"
"158372","Penicillium chrysogenum virus","species"
"1587509","Persea americana chrysovirus","species"
"2382121","Zea mays chrysovirus 1","species"
"2560100","Betachrysovirus","genus"
"2560291","Betachrysovirus alternariae","species"
"2066695","Alternaria alternata chrysovirus 1","genome"
"2164061","Betachrysovirus aspergilli","species"
"1592572","Betachrysovirus botryosphaeriae","species"
"1405299","Botryosphaeria dothidea chrysovirus 1","genome"
"2560479","Betachrysovirus foxyspori","species"
"1679238","Fusarium oxysporum f. sp. dianthi mycovirus 1","genome"
"2560478","Betachrysovirus fugramineari","species"
"254946","Fusarium graminearum dsRNA mycovirus 2","genome"
"2304034","Colletotrichum fructicola chrysovirus 1","species"
"2955441","Betachrysovirus coniothyrii","species"
"2587540","Coniothyrium diplodiella chrysovirus 1","genome"
"2955442","Betachrysovirus neofusicocci","species"
"2587541","Neofusicoccum parvum chrysovirus 1","genome"
"1755792","Penicillium janczewskii chrysovirus 1","species"
"1755793","Penicillium janczewskii chrysovirus 2","species"
"11014","Chrysovirus","genus"
"164750","Helminthosporium victoriae 145S virus","species"
"764348","Magnaporthe oryzae chrysovirus 1","species"
"1285596","Megabirnaviridae","family"
"1285597","Megabirnavirus","genus"
"1285598","Rosellinia necatrix megabirnavirus 1","species"
"658904","Rosellinia necatrix megabirnavirus 1/W779","genome"
"1676267","Rosellinia necatrix megabirnavirus 2-W8","species"
"1661257","Sclerotinia sclerotiorum megabirnavirus 1","species"
"1299296","Quadriviridae","family"
"1299297","Quadrivirus","genus"
"1000373","Rosellinia necatrix quadrivirus 1","species"
"11006","Totiviridae","family"
"11011","Giardiavirus","genus"
"29255","Giardia lamblia virus","species"
"2082658","Gigaspora margarita giardia-like virus 1","species"
"39755","Leishmaniavirus","genus"
"1678905","Leishmania RNA virus 1","species"
"58103","Leishmania RNA virus 1 - 1","genome"
"12530","Leishmania RNA virus 1 - 4","genome"
"1678906","Leishmania RNA virus 2","species"
"39116","Leishmania RNA virus 2 - 1","genome"
"1497019","Leishmania aethiopica RNA virus","species"
"11007","Totivirus","genus"
"11008","Saccharomyces cerevisiae virus L-A","species"
"2170233","Saccharomyces cerevisiae virus LBCLa","species"
"42478","Saccharomyces cerevisiae virus L-BC (La)","genome"
"1300323","Scheffersomyces segobiensis virus L","species"
"927810","Tuber aestivum virus 1","species"
"28882","Ustilago maydis virus H1","species"
"1167690","Xanthophyllomyces dendrorhous virus L1A","species"
"1167691","Xanthophyllomyces dendrorhous virus L1B","species"
"463392","Black raspberry virus F","species"
"425009","Botryotinia fuckeliana totivirus 1","species"
"279539","Gremmeniella abietina RNA virus L2","species"
"674952","Trichomonasvirus","genus"
"674953","Trichomonas vaginalis virus 1","species"
"674954","Trichomonas vaginalis virus 2","species"
"170965","Trichomonas vaginalis virus 3","species"
"1008292","Trichomonas vaginalis virus 4","species"
"674981","Victorivirus","genus"
"1087070","Aspergillus foetidus slow virus 1","species"
"1685109","Beauveria bassiana victorivirus 1","species"
"267285","Chalara elegans RNA Virus 1","species"
"210827","Coniothyrium minitans RNA virus","species"
"382962","Epichloe festucae virus 1","species"
"152217","Gremmeniella abietina RNA virus L1","species"
"196690","Helicobasidium mompa totivirus 1-17","species"
"45237","Helminthosporium victoriae virus 190S","species"
"271257","Magnaporthe oryzae virus 1","species"
"441999","Magnaporthe oryzae virus 2","species"
"1148491","Rosellinia necatrix victorivirus 1","species"
"73497","Sphaeropsis sapinea RNA virus 1","species"
"73498","Sphaeropsis sapinea RNA virus 2","species"
"939923","Tolypocladium cylindrosporum virus 1","species"
"1728964","Alternaria arborescens victorivirus 1","species"
"1485922","Beauveria bassiana victorivirus NZL/1980","species"
"1547580","Botryosphaeria dothidea victorivirus 1","species"
"1566868","Eimeria tenella RNA virus 1","species"
"2268743","Fusarium asiaticum victorivirus 1","species"
"1849535","Fusarium poae victorivirus 1","species"
"1661396","Magnaporthe oryzae virus 3","species"
"1765736","Nigrospora oryzae victorivirus 1","species"
"1580605","Phomopsis vexans RNA virus","species"
"1859161","Sclerotinia nivalis victorivirus 1","species"
"1312445","Ustilaginoidea virens RNA virus 1","species"
"1460374","Ustilaginoidea virens RNA virus 3","species"
"1756615","Ustilaginoidea virens RNA virus 5","species"
"1561171","Ustilaginoidea virens RNA virus L","species"
"1561172","Ustilaginoidea virens RNA virus M","species"
"556524","Armigeres subalbatus virus SaX06-AK20","species"
"2026601","Australian Anopheles totivirus","species"
"1765754","Camponotus nipponicus virus","species"
"1608533","Camponotus yamaokai virus","species"
"1870981","Culex tritaeniorhynchus totivirus","species"
"1678170","Diatom colony associated dsRNA virus 10","species"
"1678171","Diatom colony associated dsRNA virus 11","species"
"1678172","Diatom colony associated dsRNA virus 12","species"
"1678173","Diatom colony associated dsRNA virus 13","species"
"1678161","Diatom colony associated dsRNA virus 3","species"
"1678162","Diatom colony associated dsRNA virus 4 genome type A","species"
"1678163","Diatom colony associated dsRNA virus 4 genome type B","species"
"1678164","Diatom colony associated dsRNA virus 5","species"
"1678165","Diatom colony associated dsRNA virus 6","species"
"1678166","Diatom colony associated dsRNA virus 7","species"
"1678167","Diatom colony associated dsRNA virus 8","species"
"1678168","Diatom colony associated dsRNA virus 9 genome type A","species"
"663282","Drosophila melanogaster totivirus SW-2009a","species"
"155414","Eimeria brunetti RNA virus 1","species"
"1898175","Eimeria stiedai RNA virus 1","species"
"1856030","Golden shiner totivirus","species"
"1353795","Leptopilina boulardi Toti-like virus","species"
"1729670","Maize-associated totivirus 1","species"
"1874267","Maize-associated totivirus 2","species"
"2057198","Maize-associated totivirus 3","species"
"1777016","Panax notoginseng virus A","species"
"2248770","Panax notoginseng virus B","genome"
"1497848","Papaya meleira virus","species"
"282786","Penaeid shrimp infectious myonecrosis virus","species"
"1755467","Penicillium aurantiogriseum totivirus 1","species"
"1833938","Penicillium digitatum virus 1","species"
"349681","Phlebiopsis gigantea mycovirus dsRNA 1","species"
"912320","Piscine myocarditis virus AL V-708","species"
"1798085","Piscine myocarditis-like virus","species"
"2137353","Pythium polare RNA virus 1","species"
"2137354","Pythium polare RNA virus 2","species"
"1714362","Red clover powdery mildew-associated totivirus 1","species"
"1714363","Red clover powdery mildew-associated totivirus 2","species"
"1714364","Red clover powdery mildew-associated totivirus 3","species"
"1714366","Red clover powdery mildew-associated totivirus 5","species"
"1714367","Red clover powdery mildew-associated totivirus 6","species"
"1714368","Red clover powdery mildew-associated totivirus 7","species"
"1714370","Red clover powdery mildew-associated totivirus 9","species"
"1921825","Saccharomyces kudriavzevii virus L-A1","species"
"2082585","Sogatella furcifera totivirus 1","species"
"2082586","Sogatella furcifera totivirus 2","species"
"1770613","Thelephora terrestris virus 1","species"
"1163537","Tianjin totivirus","species"
"29256","Trichomonas vaginalis virus","species"
"2732459","Resentoviricetes","class"
"2732541","Reovirales","order"
"10880","Reoviridae","family"
"699181","Cardoreovirus","genus"
"273810","Eriocheir sinensis reovirus","species"
"699182","Mimoreovirus","genus"
"338781","Micromonas pusilla reovirus","species"
"10892","Orbivirus","genus"
"40050","African horse sickness virus","species"
"40051","Bluetongue virus","species"
"40052","Changuinola virus","species"
"40065","Chenuda virus","species"
"1679172","Chobar Gorge virus","species"
"40053","Corriparta virus","species"
"40054","Epizootic hemorrhagic disease virus","species"
"449133","Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)","genome"
"201490","Equine encephalosis virus","species"
"40056","Eubenangee virus","species"
"204269","Great Island virus","species"
"40057","Lebombo virus","species"
"40058","Orungo virus","species"
"40059","Palyam virus","species"
"356862","Peruvian horse sickness virus","species"
"104581","St Croix River virus","species"
"40060","Umatilla virus","species"
"40067","Wad Medani virus","species"
"40061","Wallal virus","species"
"40062","Warrego virus","species"
"47465","Wongorr virus","species"
"306276","Yunnan orbivirus","species"
"2306813","Guangxi orbivirus","species"
"1408137","Mobuck virus","species"
"1955493","Orbivirus SX-2017a","species"
"559180","Stretch Lagoon orbivirus","species"
"1428763","Tibet orbivirus","species"
"1692107","Fengkai orbivirus","genome"
"10985","Phytoreovirus","genus"
"10991","Rice dwarf virus","species"
"10986","Rice gall dwarf virus","species"
"10987","Wound tumor virus","species"
"411854","Homalodisca vitripennis reovirus","species"
"10912","Rotavirus","genus"
"28875","Rotavirus A","species"
"28876","Rotavirus B","species"
"10942","Human rotavirus B","genome"
"36427","Rotavirus C","species"
"335100","Rotavirus D","species"
"884200","Rotavirus D chicken/05V0049/DEU/2005","genome"
"183405","Rotavirus F","species"
"994994","Rotavirus F chicken/03V0568/DEU/2003","genome"
"183407","Rotavirus G","species"
"994995","Rotavirus G chicken/03V0567/DEU/2003","genome"
"1348384","Rotavirus H","species"
"335103","Adult diarrheal rotavirus strain J19","genome"
"1637496","Rotavirus I","species"
"1929964","Rotavirus J","species"
"1340801","Bat rotavirus","species"
"208294","Seadornavirus","genus"
"77763","Banna virus","species"
"649604","Banna virus strain JKT-6423","genome"
"104580","Kadipiro virus","species"
"246280","Liao ning virus","species"
"10979","Aquareovirus","genus"
"56094","Aquareovirus A","species"
"173082","Chum salmon reovirus CS","genome"
"57747","Aquareovirus B","species"
"1382300","Green River chinook virus","genome"
"185782","Aquareovirus C","species"
"2083444","Aquareovirus E","species"
"994485","Scophthalmus maximus reovirus","genome"
"519014","Aquareovirus G","species"
"465447","American grass carp reovirus","genome"
"1862978","Etheostoma fonticola aquareovirus","species"
"1963254","Fall chinook aquareovirus","species"
"10911","Coltivirus","genus"
"2748762","Colorado tick fever coltivirus","species"
"46839","Colorado tick fever virus","genome"
"2747210","Eyach coltivirus","species"
"62352","Eyach virus","genome"
"2734338","Kundal coltivirus","species"
"2290890","Kundal virus","genome"
"2734340","Tarumizu coltivirus","species"
"2014339","Tarumizu tick virus","genome"
"10981","Cypovirus","genus"
"205895","Cypovirus 1","species"
"205908","Cypovirus 14","species"
"205910","Cypovirus 15","species"
"134606","Trichoplusia ni cypovirus 15","genome"
"2083445","Cypovirus 16","species"
"480410","Choristoneura occidentalis cypovirus 16","genome"
"205896","Cypovirus 2","species"
"1382295","Inachis io cypovirus 2","genome"
"205899","Cypovirus 5","species"
"1986950","Daphnis nerii cypovirus","species"
"1577776","Dendrolimus punctatus cypovirus 22","species"
"699180","Dinovernavirus","genus"
"341721","Aedes pseudoscutellaris reovirus","species"
"1567404","Fako virus","species"
"10988","Fijivirus","genus"
"77698","Fiji disease virus","species"
"10989","Maize rough dwarf virus","species"
"185954","Mal de Rio Cuarto virus","species"
"33724","Nilaparvata lugens reovirus","species"
"73147","Oat sterile dwarf virus","species"
"10990","Rice black streaked dwarf virus","species"
"519497","Southern rice black-streaked dwarf virus","species"
"311225","Idnoreovirus","genus"
"311226","Idnoreovirus 1","species"
"37368","Diadromus pulchellus idnoreovirus 1","genome"
"311227","Mycoreovirus","genus"
"311228","Mycoreovirus 1","species"
"404237","Mycoreovirus 2","species"
"404238","Cryphonectria parasitica mycoreovirus 2 (C18)","genome"
"311229","Mycoreovirus 3","species"
"1840528","Sclerotinia sclerotiorum mycoreovirus 4","species"
"10882","Orthoreovirus","genus"
"38170","Avian orthoreovirus","species"
"75888","Baboon orthoreovirus","species"
"2170064","Mahlapitsi orthoreovirus","species"
"351073","Mammalian orthoreovirus","species"
"538123","Mammalian orthoreovirus 3","genome"
"118027","Nelson Bay orthoreovirus","species"
"253454","Pulau reovirus","genome"
"1157337","Piscine orthoreovirus","species"
"226613","Reptilian orthoreovirus","species"
"667093","Broome virus","species"
"1462685","Bush viper reovirus","species"
"1459003","Pteropine orthoreovirus","species"
"1388882","Cangyuan orthoreovirus","genome"
"419697","Melaka orthoreovirus","genome"
"10992","Oryzavirus","genus"
"42475","Rice ragged stunt virus","species"
"2250219","Chiqui virus","species"
"1811230","Callinectes sapidus reovirus 1","species"
"1427476","Cimodo virus","species"
"1640277","Grapevine Cabernet Sauvignon reovirus","species"
"1670669","Lutzomyia reovirus 1","species"
"2108203","Nephila clavipes virus 6","species"
"352248","Operophtera brumata reovirus","species"
"907191","Raspberry latent virus","species"
"1004049","Spissistilus festinus reovirus","species"
"2732460","Vidaverviricetes","class"
"2732542","Mindivirales","order"
"10877","Cystoviridae","family"
"10878","Cystovirus","genus"
"2169857","Cystovirus phi12","species"
"161736","Pseudomonas phage phi12","genome"
"2169858","Cystovirus phi13","species"
"134554","Pseudomonas phage phi13","genome"
"2169859","Cystovirus phi2954","species"
"593131","Pseudomonas phage phi2954","genome"
"10879","Cystovirus phi6","species"
"2928686","Pseudomonas phage phi6","genome"
"2169860","Cystovirus phi8","species"
"120086","Pseudomonas phage phi8","genome"
"2169861","Cystovirus phiNN","species"
"1603039","Pseudomonas phage phiNN","genome"
"2169862","Cystovirus phiYY","species"
"1852644","Pseudomonas phage phiYY","genome"
"2732408","Pisuviricota","phylum"
"2732505","Duplopiviricetes","class"
"2732549","Durnavirales","order"
"1511860","Amalgaviridae","family"
"1511861","Amalgavirus","genus"
"2058778","Allium cepa amalgavirus 1","species"
"2058779","Allium cepa amalgavirus 2","species"
"430710","Blueberry latent virus","species"
"878260","Rhododendron virus A","species"
"591166","Southern tomato virus","species"
"1985164","Spinach amalgavirus 1","species"
"2560258","Zybavirus","genus"
"114871","Zygosaccharomyces bailii virus Z","species"
"2065797","Anthoxanthum odoratum amalgavirus 1","species"
"1872708","Antonospora locustae virus 1","species"
"2069319","Camellia oleifera amalgavirus 1","species"
"2069320","Capsicum annuum amalgavirus 1","species"
"2069321","Cleome droserifolia amalgavirus 1","species"
"2069322","Erigeron breviscapus amalgavirus 1","species"
"2069323","Erigeron breviscapus amalgavirus 2","species"
"2069324","Festuca pratensis amalgavirus 1","species"
"2069325","Festuca pratensis amalgavirus 2","species"
"2069326","Medicago sativa amalgavirus 1","species"
"2069327","Phalaenopsis equestris amalgavirus 1","species"
"2419805","Salvia hispanica RNA virus 1","species"
"1985202","Zostera marina amalgavirus 1","species"
"1985203","Zostera marina amalgavirus 2","species"
"2842317","Curvulaviridae","family"
"2842929","Orthocurvulavirus","genus"
"2844050","Curvularia orthocurvulavirus 1","species"
"421976","Curvularia thermal tolerance virus","genome"
"2844307","Fusarium graminearum orthocurvulavirus","species"
"687918","Fusarium graminearum dsRNA mycovirus 4","genome"
"2846165","Sclerotium hydrophilum orthocurvulavirus 1","species"
"1895000","Sclerotium hydrophilum virus 1","genome"
"2846570","Trichoderma harzianum orthocurvulavirus 1","species"
"2315392","Trichoderma harzianum bipartite mycovirus 1","genome"
"11012","Partitiviridae","family"
"1511808","Alphapartitivirus","genus"
"509923","Beet cryptic virus 1","species"
"589918","Carrot cryptic virus","species"
"284688","Cherry chlorotic rusty spot associated partitivirus","species"
"284689","Amasya cherry disease-associated mycovirus","genome"
"529380","Chondrostereum purpureum cryptic virus 1","species"
"568090","Flammulina velutipes browning virus","species"
"344866","Helicobasidium mompa partitivirus V70","species"
"91913","Helicobasidium mompa dsRNA mycovirus","genome"
"942041","Heterobasidion partitivirus 1","species"
"1469905","Heterobasidion partitivirus 12","species"
"1469906","Heterobasidion partitivirus 13","species"
"1469908","Heterobasidion partitivirus 15","species"
"631431","Heterobasidion partitivirus 3","species"
"859651","Rosellinia necatrix partitivirus 2","species"
"54289","Vicia cryptic virus","species"
"292052","White clover cryptic virus 1","species"
"2043550","Medicago sativa alphapartitivirus 1","species"
"1825688","Rhizoctonia solani dsRNA virus 3","species"
"1511809","Betapartitivirus","genus"
"37961","Atkinsonella hypoxylon virus","species"
"1115692","Cannabis cryptic virus","species"
"674982","Ceratocystis resinifera virus 1","species"
"235434","Ceratocystis polonica partitivirus","genome"
