taxid,name,rank
"91561","Artiodactyla","order"
"9895","Bovidae","family"
"9903","Bos","genus"
"9913","Bos taurus","species"
"9969","Syncerus","genus"
"9970","Syncerus caffer","species"
"7147","Diptera","order"
"41819","Ceratopogonidae","family"
"41820","Culicoides","genus"
"58271","Culicoides","genome"
"9918","Bubalus","genus"
"89462","Bubalus bubalis","species"
"8782","Aves","class"
"9230","Sphenisciformes","order"
"9231","Spheniscidae","family"
"9237","Pygoscelis","genus"
"9238","Pygoscelis adeliae","species"
"30083","Miridae","family"
"236345","Adelphocoris","genus"
"323751","Adelphocoris suturalis","species"
"8826","Anseriformes","order"
"8830","Anatidae","family"
"8854","Cairina","genus"
"8855","Cairina moschata","species"
"9539","Macaca","genus"
"9544","Macaca mulatta","species"
"60711","Chlorocebus sabaeus","species"
"9604","Hominidae","family"
"9605","Homo","genus"
"9606","Homo sapiens","species"
"9922","Capra","genus"
"9925","Capra hircus","species"
"46984","Adonis","genus"
"471709","Adonis ramosa","species"
"7139","Tortricidae","family"
"85584","Adoxophyes","genus"
"85585","Adoxophyes honmai","species"
"480707","Adoxophyes orana","species"
"7157","Culicidae","family"
"7158","Aedes","genus"
"7159","Aedes aegypti","species"
"7160","Aedes albopictus","species"
"316597","Aedes pseudoscutellaris","species"
"3781","Crassulaceae","family"
"22994","Aeonium","genus"
"3524","Caryophyllales","order"
"1804623","Chenopodiaceae","family"
"1307779","Chenopodiastrum","genus"
"46091","Chenopodiastrum murale","species"
"3558","Chenopodium","genus"
"63459","Chenopodium quinoa","species"
"186817","Bacillaceae","family"
"129337","Geobacillus","genus"
"1430331","Geobacillus icigianus","species"
"1055323","Aeribacillus","genus"
"1872391","Aeribacillus sp.","species"
"135624","Aeromonadales","order"
"84642","Aeromonadaceae","family"
"642","Aeromonas","genus"
"645","Aeromonas salmonicida","species"
"644","Aeromonas hydrophila","species"
"380703","Aeromonas hydrophila subsp. hydrophila ATCC 7966","genome"
"196023","Aeromonas hydrophila subsp. hydrophila","genome"
"948519","Aeromonas rivipollensis","species"
"647","Aeromonas sp.","species"
"654","Aeromonas veronii","species"
"1569654","Aeromonas sp. A8-29","species"
"29491","Aeromonas salmonicida subsp. salmonicida","genome"
"651","Aeromonas media","species"
"728059","Aeromonas sp. IS4","species"
"114380","Desulfurococcales","order"
"2272","Desulfurococcaceae","family"
"56635","Aeropyrum","genus"
"56636","Aeropyrum pernix","species"
"272557","Aeropyrum pernix K1","genome"
"229980","Aeropyrum camini","species"
"1198449","Aeropyrum camini SY1 = JCM 12091","genome"
"186994","Hipposideridae","family"
"2603868","Macronycteris","genus"
"584996","Macronycteris gigas","species"
"3646","Malpighiales","order"
"3977","Euphorbiaceae","family"
"3982","Manihot","genus"
"3983","Manihot esculenta","species"
"3633","Gossypium","genus"
"34276","Gossypium darwinii","species"
"34282","Gossypium gossypioides","species"
"34289","Gossypium lobatum","species"
"47602","Gossypium stocksii","species"
"47635","Gossypium somalense","species"
"3635","Gossypium hirsutum","species"
"511460","Gossypium hirsutum var. punctatum","genome"
"4071","Capsicum","genus"
"4107","Solanum","genus"
"205524","Solanum aethiopicum","species"
"9779","Proboscidea","order"
"9780","Elephantidae","family"
"9784","Loxodonta","genus"
"9785","Loxodonta africana","species"
"33554","Carnivora","order"
"9608","Canidae","family"
"9611","Canis","genus"
"9612","Canis lupus","species"
"9615","Canis lupus familiaris","genome"
"337677","Cricetidae","family"
"10035","Mesocricetus","genus"
"10036","Mesocricetus auratus","species"
"9787","Perissodactyla","order"
"9788","Equidae","family"
"9789","Equus","genus"
"9793","Equus asinus","species"
"9796","Equus caballus","species"
"37951","Aedes sp.","species"
"88399","Culicoides imicola","species"
"89248","Equus quagga","species"
"89252","Equus quagga burchellii","genome"
"177093","Culicoides pulicaris","species"
"582580","Equus asinus africanus","genome"
"40551","Arecales","order"
"4710","Arecaceae","family"
"51952","Elaeis","genus"
"51953","Elaeis guineensis","species"
"337673","Nesomyidae","family"
"10084","Cricetomys","genus"
"107265","Cricetomys emini","species"
"6854","Arachnida","class"
"6935","Ixodida","order"
"9821","Suidae","family"
"9822","Sus","genus"
"9823","Sus scrofa","species"
"9825","Sus scrofa domesticus","genome"
"41425","Phacochoerus","genus"
"41426","Phacochoerus africanus","species"
"6936","Argasidae","family"
"6937","Ornithodoros","genus"
"265619","Ornithodoros erraticus","species"
"5204","Basidiomycota","phylum"
"155619","Agaricomycetes","class"
"5338","Agaricales","order"
"5339","Agaricaceae","family"
"5340","Agaricus","genus"
"5341","Agaricus bisporus","species"
"73496","Asparagales","order"
"40552","Asparagaceae","family"
"39509","Agave","genus"
"386106","Agave tequilana","species"
"71239","Cucurbitales","order"
"3650","Cucurbitaceae","family"
"3669","Luffa","genus"
"3670","Luffa aegyptiaca","species"
"10239","Viruses","superkingdom"
"2731342","Monodnaviria","clade"
"2732416","Cressdnaviricota","phylum"
"2732424","Repensiviricetes","class"
"2732539","Geplafuvirales","order"
"10811","Geminiviridae","family"
"10814","Begomovirus","genus"
"223347","Tomato leaf curl New Delhi virus","species"
"270145","Tomato leaf curl New Delhi virus - [Potato]","genome"
"183218","Abelmoschus","genus"
"183220","Abelmoschus manihot","species"
"1610811","Abelmoschus manihot subsp. tetraphyllus","genome"
"3465","Papaveraceae","family"
"3468","Papaver","genus"
"3469","Papaver somniferum","species"
"55597","Ageratum","genus"
"68299","Ageratum conyzoides","species"
"3563","Amaranthaceae","family"
"3564","Amaranthus","genus"
"117272","Amaranthus cruentus","species"
"3676","Trichosanthes","genus"
"320667","Trichosanthes dioica","species"
"55598","Ageratum houstonianum","species"
"13707","Tagetes","genus"
"55843","Tagetes patula","species"
"72025","Fabales","order"
"3803","Fabaceae","family"
"3887","Pisum","genus"
"3888","Pisum sativum","species"
"183084","Synedrella","genus"
"183085","Synedrella nodiflora","species"
"71243","Oxalidales","order"
"4033","Oxalidaceae","family"
"4034","Oxalis","genus"
"212256","Oxalis corniculata","species"
"19013","Zinnia","genus"
"34245","Zinnia elegans","species"
"4081","Solanum lycopersicum","species"
"35934","Parthenium","genus"
"183063","Parthenium hysterophorus","species"
"38820","Poales","order"
"4479","Poaceae","family"
"4564","Triticum","genus"
"4565","Triticum aestivum","species"
"44560","Ageratum yellow vein virus","species"
"346391","Ageratum yellow vein virus-Pakistan","genome"
"455045","Abelmoschus esculentus","species"
"3883","Phaseolus","genus"
"3885","Phaseolus vulgaris","species"
"50190","Sonchus","genus"
"50207","Sonchus oleraceus","species"
"7036","Aleyrodidae","family"
"7037","Bemisia","genus"
"7038","Bemisia tabaci","species"
"135625","Pasteurellales","order"
"712","Pasteurellaceae","family"
"416916","Aggregatibacter","genus"
"714","Aggregatibacter actinomycetemcomitans","species"
"668336","Aggregatibacter actinomycetemcomitans D11S-1","genome"
"16360","Alismatales","order"
"4454","Araceae","family"
"174181","Aglaonema","genus"
"174182","Aglaonema modestum","species"
"28211","Alphaproteobacteria","class"
"356","Hyphomicrobiales","order"
"82115","Rhizobiaceae","family"
"357","Agrobacterium","genus"
"1183401","Agrobacterium fabacearum","species"
"358","Agrobacterium tumefaciens","species"
"1183400","Agrobacterium tumefaciens complex","genome"
"15492","Elymus","genus"
"52152","Elymus repens","species"
"7100","Noctuidae","family"
"47766","Agrotis","genus"
"56364","Agrotis ipsilon","species"
"47767","Agrotis segetum","species"
"7197","Psychodidae","family"
"7199","Lutzomyia","genus"
"252607","Lutzomyia","genome"
"9632","Ursidae","family"
"9645","Ailuropoda","genus"
"9646","Ailuropoda melanoleuca","species"
"6073","Cnidaria","phylum"
"6101","Anthozoa","class"
"6103","Actiniaria","order"
"42823","Aiptasiidae","family"
"12922","Aiptasia","genus"
"40548","Dioscoreales","order"
"4671","Dioscoreaceae","family"
"4672","Dioscorea","genus"
"35874","Dioscorea bulbifera","species"
"9935","Ovis","genus"
"9940","Ovis aries","species"
"10128","Apodemus","genus"
"54292","Apodemus flavicollis","species"
"134910","Apodemus uralensis","species"
"10069","Akodon","genus"
"106112","Akodon montensis","species"
"139057","Aedeomyia","genus"
"139058","Aedeomyia squamipennis","species"
"9926","Connochaetes","genus"
"9927","Connochaetes taurinus","species"
"101659","Connochaetes taurinus taurinus","genome"
"9928","Damaliscus","genus"
"9929","Damaliscus lunatus","species"
"59546","Damaliscus lunatus jimela","genome"
"9850","Cervidae","family"
"9851","Alces","genus"
"9852","Alces alces","species"
"9853","Alces alces alces","genome"
"13203","Phlebotomus","genus"
"13204","Phlebotomus perniciosus","species"
"9655","Mustelidae","family"
"9665","Mustela","genus"
"3877","Medicago","genus"
"3879","Medicago sativa","species"
"3826","Cicer","genus"
"3827","Cicer arietinum","species"
"3846","Glycine","genus"
"3847","Glycine max","species"
"3863","Lens","genus"
"3864","Lens culinaris","species"
"3869","Lupinus","genus"
"3913","Vigna","genus"
"157791","Vigna radiata","species"
"3916","Vigna radiata var. radiata","genome"
"3917","Vigna unguiculata","species"
"4036","Apiales","order"
"4037","Apiaceae","family"
"4044","Apium","genus"
"4045","Apium graveolens","species"
"4072","Capsicum annuum","species"
"4113","Solanum tuberosum","species"
"4235","Lactuca","genus"
"4236","Lactuca sativa","species"
"41934","Cornales","order"
"23097","Hydrangeaceae","family"
"23113","Philadelphus","genus"
"271790","Lablab","genus"
"35936","Lablab purpureus","species"
"4143","Lamiales","order"
"4136","Lamiaceae","family"
"41385","Caryopteris","genus"
"41386","Caryopteris incana","species"
"3898","Trifolium","genus"
"60916","Trifolium incarnatum","species"
"20400","Astragalus","genus"
"83862","Astragalus glycyphyllos","species"
"4199","Dipsacales","order"
"4206","Adoxaceae","family"
"4204","Viburnum","genus"
"85293","Viburnum opulus","species"
"45682","Teramnus","genus"
"157662","Teramnus repens","species"
"8940","Cuculiformes","order"
"57382","Centropidae","family"
"57401","Centropus","genus"
"121387","Centropus phasianinus","species"
"3660","Cucurbita","genus"
"10114","Rattus","genus"
"10116","Rattus norvegicus","species"
"69826","Ornithodoros savignyi","species"
"4055","Gentianales","order"
"4056","Apocynaceae","family"
"52817","Allamanda","genus"
"52818","Allamanda cathartica","species"
"4668","Amaryllidaceae","family"
"4678","Allium","genus"
"4679","Allium cepa","species"
"48010","Oecomys","genus"
"48011","Oecomys bicolor","species"
"48012","Oecomys roberti","species"
"7174","Culex","genus"
"7176","Culex quinquefasciatus","species"
"1294634","Crocodylia","order"
"8493","Crocodylidae","family"
"38609","Diprotodontia","order"
"9307","Macropodidae","family"
"9312","Macropus","genus"
"9322","Macropus sp.","species"
"38611","Peramelemorphia","order"
"9342","Peramelidae","family"
"8504","Lepidosauria","class"
"8509","Squamata","order"
"66056","Scincidae","family"
"161939","Cryptoblepharus","genus"
"2058948","Cryptoblepharus virgatus","species"
"9681","Felidae","family"
"9682","Felis","genus"
"9685","Felis catus","species"
"9835","Camelidae","family"
"30539","Vicugna","genus"
"30538","Vicugna pacos","species"
"9431","Vespertilionidae","family"
"27671","Pipistrellus","genus"
"59472","Pipistrellus kuhlii","species"
"2912049","Culex sp.","species"
"139055","Uranotaenia","genus"
"325429","Uranotaenia","genome"
"562834","Culex nebulosus","species"
"278678","alpha proteobacterium JL001","species"
"4642","Zingiberaceae","family"
"4645","Hedychium","genus"
"4650","Zingiber","genus"
"94328","Zingiber officinale","species"
"94326","Alpinia","genus"
"125257","Alpinia formosana","species"
"188487","Etlingera","genus"
"188493","Etlingera elatior","species"
"230707","Alpinia purpurata","species"
"99568","Curcuma","genus"
"251764","Curcuma alismatifolia","species"
"125261","Alpinia oxyphylla","species"
"9401","Pteropus","genus"
"9402","Pteropus alecto","species"
"9403","Pteropus poliocephalus","species"
"1562770","Pteropus sp.","species"
"44988","Eucharis","genus"
"44989","Eucharis x grandiflora","species"
"3542","Aizoaceae","family"
"45317","Tetragonia","genus"
"45318","Tetragonia tetragonoides","species"
"4667","Liliales","order"
"56740","Alstroemeriaceae","family"
"56741","Alstroemeria","genus"
"59035","Alstroemeria sp.","species"
"3655","Cucumis","genus"
"3659","Cucumis sativus","species"
"227725","Solanum quitoense","species"
"4180","Pedaliaceae","family"
"3904","Vicia","genus"
"3906","Vicia faba","species"
"4074","Datura","genus"
"4076","Datura stramonium","species"
"35625","Datura metel","species"
"35889","Nicotiana glutinosa","species"
"25692","Balsaminaceae","family"
"35939","Impatiens","genus"
"200306","Nicotiana occidentalis subsp. hesperis","genome"
"189212","Emilia","genus"
"415160","Emilia sonchifolia","species"
"1642833","Nicotiana occidentalis subsp. occidentalis","genome"
"66262","Chenopodium amaranticolor","species"
"169520","Alternanthera","genus"
"326744","Alternanthera ficoidea","species"
"24584","Polemoniaceae","family"
"40749","Phlox","genus"
"103543","Phlox stolonifera","species"
"41944","Myrtales","order"
"3934","Onagraceae","family"
"13118","Ludwigia","genus"
"155013","Ludwigia hyssopifolia","species"
"4890","Ascomycota","phylum"
"147541","Dothideomycetes","class"
"92860","Pleosporales","order"
"28556","Pleosporaceae","family"
"5598","Alternaria","genus"
"5599","Alternaria alternata","species"
"4891","Saccharomycetes","class"
"4892","Saccharomycetales","order"
"4893","Saccharomycetaceae","family"
"4930","Saccharomyces","genus"
"4932","Saccharomyces cerevisiae","species"
"580240","Saccharomyces cerevisiae W303","genome"
"156630","Alternaria arborescens","species"
"1122867","Alternaria arborescens EGS 39-128","genome"
"29001","Alternaria brassicicola","species"
"160389","Alternaria longipes","species"
"135622","Alteromonadales","order"
"72275","Alteromonadaceae","family"
"226","Alteromonas","genus"
"1656094","Alteromonas confluentis","species"
"28108","Alteromonas macleodii","species"
"1004785","Alteromonas macleodii str. 'Black Sea 11'","genome"
"314275","Alteromonas mediterranea","species"
"1004786","Alteromonas mediterranea DE1","genome"
"1004787","Alteromonas macleodii str. 'Balearic Sea AD45'","genome"
"1774373","Alteromonas mediterranea DE","genome"
"232","Alteromonas sp.","species"
"41549","Cirsium","genus"
"41550","Cirsium arvense","species"
"56196","Amaranthus viridis","species"
"1053327","Amaranthus deflexus","species"
"4751","Fungi","genome"
"2746633","Phlebotominae sp.","species"
"4211","Ambrosia","genus"
"29715","Ambrosia psilostachya","species"
"7952","Cypriniformes","order"
"7953","Cyprinidae","family"
"7961","Cyprinus","genus"
"7962","Cyprinus carpio","species"
"8292","Amphibia","class"
"8293","Caudata","order"
"8294","Ambystomatidae","family"
"8295","Ambystoma","genus"
"2511205","Ambystoma mavortium","species"
"215237","Ambystoma mavortium stebbinsi","genome"
"8305","Ambystoma tigrinum","species"
"379582","Ailuridae","family"
"9648","Ailurus","genus"
"9649","Ailurus fulgens","species"
"29077","Eptesicus","genus"
"29078","Eptesicus fuscus","species"
"2743745","Xenocyprididae","family"
"7958","Ctenopharyngodon","genus"
"7959","Ctenopharyngodon idella","species"
"2743726","Leuciscidae","family"
"28799","Notemigonus","genus"
"28800","Notemigonus crysoleucas","species"
"51137","Pimephales","genus"
"90988","Pimephales promelas","species"
"3744","Rosales","order"
"3481","Cannabaceae","family"
"3484","Humulus","genus"
"3486","Humulus lupulus","species"
"3745","Rosaceae","family"
"3754","Prunus","genus"
"88123","Prunus salicina","species"
"8976","Galliformes","order"
"9005","Phasianidae","family"
"9030","Gallus","genus"
"9031","Gallus gallus","species"
"10092","Mus musculus domesticus","genome"
"8314","Salamandridae","family"
"339868","Lissotriton","genus"
"8324","Lissotriton vulgaris","species"
"695564","Erebidae","family"
"13122","Lymantria","genus"
"13123","Lymantria dispar","species"
"56593","Estigmene","genus"
"56594","Estigmene acrea","species"
"340055","Amsacta","genus"
"1117","Cyanobacteria","phylum"
"1161","Nostocales","order"
"1162","Nostocaceae","family"
"1177","Nostoc","genus"
"103690","Nostoc sp. PCC 7120 = FACHB-418","species"
"9836","Camelus","genus"
"9838","Camelus dromedarius","species"
"9975","Lagomorpha","order"
"9979","Leporidae","family"
"9984","Oryctolagus","genus"
"9986","Oryctolagus cuniculus","species"
"8572","Boidae","family"
"51875","Eunectes","genus"
"51876","Eunectes murinus","species"
"3870","Lupinus albus","species"
"3907","Vicia faba var. minor","genome"
"3912","Vicia narbonensis","species"
"3920","Vigna unguiculata subsp. unguiculata","genome"
"4101","Petunia","genus"
"4102","Petunia x hybrida","species"
"49792","Anagyris","genus"
"49793","Anagyris foetida","species"
"118703","Nicotiana megalosiphon","species"
"553691","Sulla","genus"
"299721","Sulla coronaria","species"
"1215880","Vicia faba var. major","genome"
"8835","Anas","genus"
"8839","Anas platyrhynchos","species"
"172790","Solanum phureja","species"
"278839","Nicotiana quadrivalvis","species"
"4088","Nicotiana quadrivalvis var. bigelovii","genome"
"4083","Solanum chilense","species"
"29120","Oligoryzomys","genus"
"137207","Oligoryzomys longicaudatus","species"
"1489940","Centrarchiformes","order"
"8180","Centrarchidae","family"
"13105","Lepomis","genus"
"13106","Lepomis macrochirus","species"
"8006","Salmoniformes","order"
"8015","Salmonidae","family"
"8016","Oncorhynchus","genus"
"74940","Oncorhynchus tshawytscha","species"
"30365","Cryptobranchidae","family"
"141261","Andrias","genus"
"141262","Andrias davidianus","species"
"4185","Acanthaceae","family"
"175693","Andrographis","genus"
"175694","Andrographis paniculata","species"
"40948","Angelica","genus"
"48101","Angelica dahurica","species"
"46362","Angelica lucida","species"
"357848","Angelica genuflexa","species"
"156152","Plantaginaceae","family"
"90643","Angelonia","genus"
"258236","Angelonia angustifolia","species"
"7933","Anguilliformes","order"
"7934","Anguillidae","family"
"7935","Anguilla","genus"
"7936","Anguilla anguilla","species"
"7937","Anguilla japonica","species"
"948950","Pilosa","order"
"227508","Megalonychidae","family"
"9357","Choloepus","genus"
"27675","Choloepus didactylus","species"
"107273","Eliurus","genus"
"107283","Eliurus majori","species"
"7055","Scarabaeidae","family"
"71817","Anomala","genus"
"121601","Anomala cuprea","species"
"7164","Anopheles","genus"
"7165","Anopheles gambiae","species"
"7168","Anopheles dirus","species"
"1518534","Anopheles coluzzii","species"
"112268","Anopheles minimus","species"
"58253","Anopheles triannulatus","species"
"41429","Anopheles maculipennis","species"
"150247","Anoxybacillus","genus"
"247480","Anoxybacillus caldiproteolyticus","species"
"30457","Pygoscelis papua","species"
"7117","Saturniidae","family"
"7118","Antheraea","genus"
"7119","Antheraea pernyi","species"
"15324","Anthoxanthum","genus"
"29661","Anthoxanthum odoratum","species"
"78377","Anthurium","genus"
"129553","Anticarsia","genus"
"129554","Anticarsia gemmatalis","species"
"6029","Microsporidia","phylum"
"67677","Antonospora","genus"
"278021","Antonospora locustae","species"
"9554","Papio","genus"
"9555","Papio anubis","species"
"376918","Aotidae","family"
"9504","Aotus","genus"
"9505","Aotus trivirgatus","species"
"80764","Aphis","genus"
"464929","Aphis","genome"
"307491","Aphis glycines","species"
"6497","Aplysiida","order"
"6498","Aplysiidae","family"
"6499","Aplysia","genus"
"6500","Aplysia californica","species"
"7106","Spodoptera","genus"
"7107","Spodoptera exigua","species"
"7112","Helicoverpa","genus"
"29058","Helicoverpa armigera","species"
"39465","Hyphantria","genus"
"39466","Hyphantria cunea","species"
"326964","Apocheima","genus"
"706528","Apocheima cinerarius","species"
"10129","Apodemus sylvaticus","species"
"61837","Apodemus argenteus","species"
"105296","Apodemus speciosus","species"
"2034202","Oligoryzomys mattogrossae","species"
"3749","Malus","genus"
"3752","Malus sylvestris","species"
"3758","Prunus domestica","species"
"3760","Prunus persica","species"
"23159","Crataegus","genus"
"3766","Pyrus","genus"
"23211","Pyrus communis","species"
"36596","Prunus armeniaca","species"
"36609","Cydonia","genus"
"36610","Cydonia oblonga","species"
"114937","Prunus spinosa","species"
"3750","Malus domestica","species"
"3502","Fagales","order"
"3514","Betulaceae","family"
"3504","Betula","genus"
"13450","Corylus","genus"
"106566","Malus sieboldii","species"
"42229","Prunus avium","species"
"240058","Dysphania","genus"
"434246","Dysphania schraderiana","species"
"9709","Phocidae","family"
"693430","Pusa","genus"
"9718","Pusa hispida","species"
"69277","Phyllobacteriaceae","family"
"69278","Aquamicrobium","genus"
"658602","Aquamicrobium sp. H14","species"
"658607","Aquamicrobium sp. H8","species"
"359336","Castellaniella","genus"
"658609","Castellaniella sp. H13","species"
"658610","Castellaniella sp. H17","species"
"658611","Castellaniella sp. H5","species"
"8852","Branta","genus"
"8853","Branta canadensis","species"
"8831","Aix","genus"
"8833","Aix sponsa","species"
"3699","Brassicales","order"
"3700","Brassicaceae","family"
"3701","Arabidopsis","genus"
"81970","Arabidopsis halleri","species"
"3554","Beta","genus"
"161934","Beta vulgaris","species"
"3555","Beta vulgaris subsp. vulgaris","genome"
"3567","Amaranthus caudatus","species"
"3746","Fragaria","genus"
"3747","Fragaria x ananassa","species"
"4093","Nicotiana rustica","species"
"4144","Oleaceae","family"
"4145","Olea","genus"
"4146","Olea europaea","species"
"42219","Cornaceae","family"
"4281","Cornus","genus"
"4283","Cornus florida","species"
"4512","Hordeum","genus"
"4513","Hordeum vulgare","species"
"13596","Ligustrum","genus"
"403667","Vitales","order"
"3602","Vitaceae","family"
"3603","Vitis","genus"
"29760","Vitis vinifera","species"
"23216","Rubus","genus"
"32247","Rubus idaeus","species"
"24208","Syringa","genus"
"34270","Syringa vulgaris","species"
"3550","Atriplex","genus"
"34272","Atriplex hortensis","species"
"46111","Celosia","genus"
"46112","Celosia argentea","species"
"57918","Fragaria vesca","species"
"13090","Hosta","genus"
"81734","Hosta fortunei","species"
"330163","Dysphania ambrosioides","species"
"434243","Chenopodiastrum hybridum","species"
"152274","Vitis cinerea var. helleri x Vitis riparia","species"
"3817","Arachis","genus"
"108216","Arachis pintoi","species"
"63462","Araujia","genus"
