drug_id	name	mol_weight	efficacy	targetD01275	Doxorubicin hydrochloride	579.9802	Antineoplastic, Topoisomerase II inhibitor
D10708	Fostemsavir tromethamine	704.6248	Antiviral, gp120-directed attachment inhibitor
D09881	Cobicistat	776.0227	Antiviral (potentiator), CYP3A inhibitor
D11966	Cabotegravir and rilpivirine	0	Antiviral
D06271	Vaccinia immune globulin	0	Immunizing agent (passive)
D11472	Remdesivir	602.576	Antiviral, RNA polymerase inhibitor
D12262	Tixagevimab and cilgavimab	0	Antiviral
D11971	Tozinameran	0	Active immunization (SARS-CoV-2)
D12114	Elasomeran	0	Active immunization (SARS-CoV-2)
D12115	COVID-19 vaccine	0	Active immunization (SARS-CoV-2)
D12129	COVID-19 vaccine	0	Active immunization (SARS-CoV-2)
D11936	Bamlanivimab	146438.8437	Antiviral
D11943	Molnupiravir	329.3059	Antiviral
D11944	Etesevimab	145179.2955	Antiviral
D12014	Sotrovimab	146430.4028	Antiviral
D12174	Bebtelovimab	143806.1406	Antiviral
D12269	Nirmatrelvir and ritonavir	0	Antiviral
D12336	SARS-CoV-2 Spike glycoprotein vaccine antigen nvx-cov2373	0	Active immunization (SARS-CoV-2)
