ko,name,description,disease_category
H00370,Progressive multifocal leukoencephalopathy,Progressive multifocal leukoencephalopathy (PML) is a fatal neurological disorder characterized by destruction of oligodendrocytes by the JC polyomavirus that occurs in immunosuppressed individuals such as patients with AIDS. Patients with PML show white matter lesions on head computed tomography scan or magnetic resonance imaging.,Infectious disease
H00372,Smallpox,"Smallpox is a contagious disease caused by the variola virus, one of the Orthopoxviruses that causes skin eruption and marked toxemia. The disease was officially declared eradicated in 1979 following intensive vaccination campaigns.",Infectious disease
H00373,Monkeypox,"Human monkeypox is a rare viral zoonotic disease caused by Monkeypox virus of the genus Orthopoxvirus. It occurs mostly in the rain forests of central and western Africa. Human monkeypox has a clinical presentation similar to that of smallpox, including characteristic rash. Lymphadenopathy is not a common feature of smallpox and is therefore a key distinguishing feature of monkeypox. By contrast with smallpox, human monkeypox has low transmissibility between human beings.",Infectious disease
H00374,Viral wart,"Human papillomaviruses (HPVs) are small DNA viruses of the papovavirus family that can be associated with various skin warts including common warts, plantar warts, plane warts, condyloma acuminatum, Bowenoid papulosis, epidermodysplasia verruciformis, and laryngeal papillomas. Other lesions reported to be HPV-associated are squamous papilloma, verruca vulgaris, warty lip lesions, and conjunctival papillomas.",Infectious disease
H00376,Acute poliomyelitis,"Acute poliomyelitis, often called polio, is an infectious disease caused by any of the three serotypes of poliovirus, an enterovirus in the Picornaviridae family of +ssRNA viruses. Only a small proportion of poliovirus infections results in paralytic poliomyelitis due to the viral invasion to the central nervous system.",Infectious disease
H00377,Rabies,"Rabies is a typical zoonotic disease caused by rabies virus that belong to the genus Lyssavirus, within the family Rhabdoviridae and the order Mononegavirales of -ssRNA viruses. Dogs are the major vectors. Rabies affects the central nervous system and causes fatal encephalomyelitis.",Infectious disease
H00378,Lyssavirus infection,"Lyssaviruses belong to the genus Lyssavirus, within the family Rhabdoviridae and the order Mononegavirales of -ssRNA viruses. The genus Lyssavirus currently includes rabies virus [DS:H00377] and 6 rabies-related viruses. Rabies-related lyssaviruses utilize mostly bats as their principal reservoir hosts as well as various terrestrial carnivores as terminal hosts. They can cause acute, fatal encephalitis similar to that seen with rabies virus infection of humans. There is no effective treatment.",Infectious disease
H00380,Tick-borne viral encephalitis,"Tick-borne viral encephalitis is a group of diseases caused by arboviruses closely related to yellow fever, dengue, Japanese encephalitis, and West Nile viruses. It is the most important viral tick-borne disease in Europe and is also important in the Far East and in other parts of Asia.",Infectious disease
H00381,Dengue,"Dengue is an infectious disease caused by Dengue virus (DENV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Aedes mosquitoes. Dengue is the most prevalent arboviral infection worldwide, and at least four different serotypes of DENV are known causing dengue fever and life-threatening dengue hemorrhagic fever. Dengue is a very old disease with a report of dengue-like illness in China as early as the third century.",Infectious disease
H00383,Arthropod-borne viral fever,"Arthropod-borne viral fevers are infectious diseases caused by arboviruses (arthropod-borne viruses) and transmitted by mosquitoes, other insects, mites and ticks. Arboviruses are zoonotic viruses and actually consist of taxonomically different viruses, including flavivirus, alphavirus and bunyavirus.",Infectious disease
H00384,Yellow fever,"Yellow fever is an infectious disease caused by Yellow fever virus (YFV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Aedes mosquitoes. YFV was was first isolated in 1927 in West Africa.",Infectious disease
H00386,Lassa fever,"Lassa fever is an acute viral hemorrhagic illness caused by Lassa virus (LASV), an Old World arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. LASV was first discovered in 1969 in Nigeria.",Infectious disease
H00387,B virus infection,"Macacine herpesvirus 1, also known as B virus, is an alpha-herpesvirus that naturally infects Asiatic macaques. It is transmitted by exposure to contaminated bodily fluids. In macaques, the infection is similar to that of HSV-1 and HSV-2 in humans and serious disease is rare. However, in humans, it invades the central nervous system and causes serious encephalitis with a fatality rate greater than 70%.",Infectious disease
H00389,Hemorrhagic fever with renal syndrome,"Hemorrhagic fever with renal syndrome (HFRS) is a group of diseases caused by hantaviruses which are members of family Bunyaviridae. Rodents and Soricomorpha species are natural reservoirs of these viruses, and humans acquire infection by inhaling the excreta of infected animals. HFRS is characterized by renal failure, hemorrhages, and shock. The serotype Puumala virus also causes nephropathia epidemica, a milder variant of HFRS.",Infectious disease
H00390,Hantavirus pulmonary syndrome,"Hantavirus pulmonary syndrome is an often fatal infectious disease caused by orthohantaviruses in the order Bunyavirales of -ssRNA viruses. Rodents have long been considered to be the primary reservoir hosts of hantaviruses. However, recent discoveries have revealed that hantaviruses infect a more diverse range of mammalian hosts, particularly Chiroptera and Soricomorpha.",Infectious disease
H00393,Enterovirus infection,"Enteroviruses are a large and diverse group of viruses belonging to the genus Enterovirus in the family Picornaviridae of +ssRNA viruse. Most non-polio enterovirus infections are mild, but some of them can cause hand, foot and mouth disease, viral conjunctivitis, viral meningitis and other diseases.",Infectious disease
H00394,Measles,"Measles is a highly contagious infectious disease caused by the measles virus, a morbillivirus in the Paramyxoviridae family of -ssRNA viruses. The disease may have existed for thousands of years. The virus was first isolated in 1954 and transformed into a vaccine in 1963 in the USA.",Infectious disease
H00395,Rubella,"Rubella, also known as German measles, is an infection caused by the rubella virus in the Rubivirus genus, the Togaviridae family of +ssRNA viruses. Congenital rubella syndrome can occur in a developing baby when the mother is infected early in pregnancy. The virus was first isolated in 1962.",Infectious disease
H00396,Mumps,"Mumps is an acute systemic viral infection classically manifested by inflammation of parotid glands and fever. Mortality is rare, but it is often accompanied by more serious complications such as aseptic meningitis, pediatric deafness, and orchitis.",Infectious disease
H00397,Ross River fever,"Ross River fever is an infectious disease caused by Ross River virus (RRV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Aedes and Culex mosquitoes. RRV was first isolated in 1972 near Ross River in North Queensland, Australia.",Infectious disease
H00398,Influenza,"Influenza is typically a self-limiting upper respiratory disease caused by three types of influenza viruses: influenza A, B, and C. Influenza A and B viruses cause highly contagious diseases whereas influenza C virus causes only mild upper respiratory tract illness. Influenza A virus is responsible for annual epidemics in humans with high mortality rates.",Infectious disease
H00399,Avian influenza,"Avian influenza is an infectious disease caused by Influenzavirus A that belongs to the genus Alphainfluenzavirus in the Orthomyxoviridae family of -ssRNA virus. Influenzavirus A viruses are species specific and rarely cross the species barrier. However, subtypes H5, H7, and H9 have caused sporadic infections in humans, mostly as a result of direct contact with infected birds. H5N1 high pathogenicity avian influenza virus causes a rapid onset of severe viral pneumonia and is highly fatal.",Infectious disease
H00400,Parainfluenza infection,"Human parainfluenza viruses (HPIV) are single-stranded RNA viruses belonging to the paramyxovirus family. They are the second most common causes of pediatric lower respiratory tract diseaseleading to hospitalization after respiratory syncytial virus. It can cause repeated infections throughout life, causing flu-like illness.",Infectious disease
H00401,Respiratory syncytial virus infection,"Respiratory syncytial virus (RSV) of the Paramyxoviridae family is a major cause of acute lower respiratory tract illness in infants and young children. It affects the elderly and immunocompromised individuals as well. Although RSV was discovered half a century ago, no effective treatment for the infection exists.",Infectious disease
H00402,Severe acute respiratory syndrome,Severe acute respiratory syndrome (SARS) is a viral respiratory illness caused by SARS coronavirus. SARS first emerged in 2002 and gained global from 2002 to 2003. The main mode of transmission of SARS coronavirus is person-to-person spread through inhalation of respiratory droplets.,Infectious disease
H00404,Erythema infectiosum,"Erythema infectiosum, or fifth disease, is a benign pediatric condition caused by B19 parvovirus. It causes a mild, self-limiting 'slapped-cheek' facial rash with low-grade fever and malaise in immunocompetent children. Parvovirus B 19 also causes a wide range of clinical complications, including thrombocytopenia and neurological manifestations in immunocompromised patients and intrauterine fetal death in primary infected pregnant women.",Infectious disease
H00405,Marburg disease,Marburg disease is a severe infectious disease caused by marburgviruses within the genus Marburgvirus in the family Filoviridae of -ssRNA viruses. Related viruses in Filoviridae are the causative agent of Ebola hemorrhagic fever. Marburgvirus was discovered in 1967 in Germany.,Infectious disease
H00406,Acquired immunodeficiency syndrome (AIDS),"Since the discovery in 1980s, HIV/AIDS has become the most important infectious disease globally. Many of the clinical features of HIV/AIDS can be ascribed to the profound immune deficiency in patients. HIV infection also increases the risk of autoimmune diseases and malignancies such as non-Hodgkin's lymphoma and Kaposi's sarcoma.",Infectious disease; Immune system disease
H00411,Hepatitis A,"Hepatitis A is an infectious disease caused by hepatitis A virus (HAV), also called hepatovirus A, belonging to the Picornaviridae family of +ssRNA viruses. HAV can be transmitted through contaminated food and water. Unlike hepatitis B and C, hepatitis A does not become chronic.",Infectious disease
H00412,Hepatitis B,"Hepatitis B is an infectious disease caused by hepatitis B virus (HBV) belonging to the Hepadnaviridae family of dsDNA-RT viruses. Both acute and chronic hepatitis B can be caused by blood-borne HBV infections. The risk of developing chronic hepatitis B is directly related to the age of first infection, much higher for infants. Chronic hepatitis B may eventaully lead to cirrhosis and hepatocellular carcinoma.",Infectious disease
H00413,Hepatitis C,Hepatitis C is a blood-borne infectious disease caused by Hepatitis C virus (HCV) belonging to the Flaviviridae family of +ssRNA viruses. HCV infection often becomes chronic and can lead to degenerative liver diseases including fibrosis and cirrhosis. Some of these may eventually lead to hepatocellular carcinoma.,Infectious disease
H00414,Hepatitis D,"Hepatitis D is caused by hepatitis D virus (HDV), also called hepatitis delta virus, which is a satellite that can infect human only in the presence of hepatitis B virus (HBV).",Infectious disease
H00415,Hepatitis E,Hepatitis E is an infectious disease caused by hepatitis E virus (HEV) belonging to the Hepeviridae family of +ssRNA viruses. HEV is transmitted through the fecal-oral route.,Infectious disease
H00416,Omsk hemorrhagic fever,"Omsk hemorrhagic fever is an acute viral disease that was found in Omsk, west Siberia in Russia. The disease presents with fever, headache, nausea, severe muscle pain, cough, and moderately severe hemorrhagic manifestations. Dermacentor reticulatus ticks are the main vector of Omsk hemorrhagic fever virus, but people are mainly infected after contact with infected muskrats (Ondatra zibethicus).",Infectious disease
H00975,Rotaviral enteritis,Rotaviral enteritis is the main diarrheal disease in infants caused by rotavirus infection. Rotaviruses are members of the Reoviridae family and contain genomes consisting of eleven segments of double-stranded RNA. Rotavirus is transmitted primarily via the fecal-oral route.,Infectious disease
H01052,Molluscum contagiosum,"Molluscum contagiosum is a highly contagious poxvirus infection of the mucous membranes and skin that usually affects school-aged children. The infection is transmitted by close physical contact, fomites, and autoinoculation. It is a benign and self-limiting disease, with the majority of lesions spontaneously resolve within 2-4 years without active treatment.",Infectious disease
H01063,Human metapneumovirus infection,"Human metapneumovirus (hMPV) is an emerging human respiratory pathogen first reported in 2001. hMPV is widely distributed that nearly all individuals have been exposed to the virus by age of 5 years. It causes mild to severe cough, bronchiolitis, and pneumonia and these symptoms cannot be distinguished from those caused by the respiratory syncytial virus, influenza, and parainfluenza viruses.",Infectious disease
H01320,Epidemic keratoconjunctivitis,"Epidemic keratoconjunctivitis (EKC) is a highly contagious and severe form of eye disease caused by human adenoviruses (HAdVs). There are two well-defined adenoviral keratoconjunctivitis clinical syndromes: EKC and pharyngoconjunctival fever (PCF) [DS:H01420], which are caused by different HAdV serotypes. HAdV-8, HAdV-19, and HAdV-37 are common causative agents of EKC. In addition to these above-mentioned types, HAdV-3, HAdV-4, HAdV-7, HAdV-9, HAdV-15, HAdV-53, and HAdV-54 have also been identified as causative agents of EKC. However, HAV-8 is responsible for the highest number of EKC cases worldwide and is associated with severe clinical manifestations. EKC patients may complain about influenza-like symptoms, including fever, malaise, respiratory symptoms, nausea, vomiting, diarrhea, and myalgia. The incubation period is 2-14 days, and the person may remain infectious for 10-14 days after the onset of the symptoms. Symptoms tend to last for 7-21 days.",Infectious disease
H01322,Kyasanur Forest disease,"Kyasanur Forest disease is a viral hemorrhagic fever caused by Kyasanur Forest disease (KFDV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Ixodoidea ticks. KFDV was first isolated 1957 in India.",Infectious disease
H01323,Enteritis due to Norovirus,"Enteritis due to Norovirus is a major nonbacterial gastroenteritis worldwide. Norovirus is one of five genera of the family Caliciviridae of +ssRNA viruses. Human norovirus, previously known as Norwalk virus, was first identified during an outbreak of gastroenteritis in Norwalk, Ohio, USA.  Noroviruses are currently categorized into at least seven genogroups (GI-GVII) that are further divided into more than 40 genotypes. Genogroup GI, GII, and GIV viruses infect humans. Human Noroviruses are primarily transmitted by the fecal-oral route, either by person-to-person contact, or by ingestion of contaminated food or water. Moreover, they significantly contribute to foodborne diseases.",Infectious disease
H01324,Lymphocytic choriomeningitis,"Lymphocytic choriomeningitis (LCM) is an infectious disease caused by Lymphocytic choriomeningitis virus (LCMV), an arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. LCMV was the first isolated in 1933 in St. Louis, USA.",Infectious disease
H01326,"Hand, foot and mouth disease","Hand, foot and mouth disease (HFMD) is a common infection among infants and young children caused by certain enteroviruses in the Picornaviridae family of +ssRNA viruses, such as Coxsackievirus A16 and Enterovirus A71. HFMD is generally a benign febrile exanthematous disease, but complications can occur causing meningitis and encephalitis.",Infectious disease
H01327,Herpangina,"Herpangina is a mouth infection caused by coxsackieviruses in the genus Enterovirus, the family Picornaviridae of +ssRNA viruses, affecting mostly children in summer.",Infectious disease
H01416,Severe fever with thrombocytopenia syndrome,"Severe fever with thrombocytopenia syndrome (SFTS) is a life-threatening infectious disease caused by SFTS virus (SFTSV), a phlebovirus in the order Bunyavirales of -ssRNA viruses, and transmitted by Ixodoidea ticks. SFTSV was first isolated in 2009 in China.",Infectious disease
H01418,Condyloma acuminatum,"Condyloma acuminatum is a sexually transmitted infection (STI) caused by the human papillomavirus (HPV). It is characterized by fleshy papules on the mucosa and skin of the anorectum and genitalia, with genital disease being more prevalent than anorectal disease. Warts tend to be painless, but may be associated with some discomfort or itching.",Infectious disease
H01419,Middle East respiratory syndrome,"Middle East respiratory syndrome (MERS) is a severe viral illness caused by Middle East respiratory syndrome coronavirus (MERS-CoV), a novel coronavirus that emerged in the Middle East in 2012. Since then, MERS-CoV has caused an ongoing epidemic in the Arabian Peninsula with sporadic cases imported in Europe, North Africa, Southeast Asia, and the United States of America. MERS is often a lower respiratory tract disease associated with fever, cough, breathing difficulties, pneumonia that can progress to acute respiratory distress syndrome, multiorgan failure, and death.",Infectious disease
H01420,Pharyngoconjunctival fever,"Pharyngoconjunctival fever (PCF) is a syndrome attributed to human adenovirus B, particularly serotype 3, which causes small outbreaks, mainly among children. The syndrome may occur sporadically and can cause outbreaks in families and other closed populations. The main sources of infection are contaminated waters of swimming pools and water reservoirs. Acute onset of PCF comprises fever, pharyngitis, rhinitis, cervical adenopathies and bulbar and palpebral conjunctivitis with moderate follicular reaction which can last for 3-5 days. PCF associated ocular inflammation begins unilateral and generally becomes bilateral in the course of the disease.",Infectious disease
H01421,Acute hemorrhagic conjunctivitis,"Acute hemorrhagic conjunctivitis (AHC) is a highly contagious viral conjunctivitis first observed in 1969 in Ghana. Causative agents thus far identified are enterovirus 70 and coxsackievirus A24 variant in the genus Enterovirus, the family Picornaviridae of +ssRNA viruses.",Infectious disease
H01430,Viral gastroenteritis,"Viral gastroenteritis is an infection of the stomach and intestines caused by a variety of viruses. Rotavirus, enteric adenovirus, calicivirus, and astrovirus typically cause diarrhea in infants and young children, whereas the Norwalk group of viruses (and occasionally calicivirus and astrovirus) produces explosive epidemics of gastroenteritis associated with contaminated water and foods, in adults as well as school-age children. No effective treatments have been developed for viral gastroenteritis. Current efforts are targeted at the development of suitable vaccines and the implementation of infection control measures.",Infectious disease
H01533,Japanese encephalitis,"Japanese encephalitis is an infection of the central nervous system caused by Japanese encephalitis virus (JEV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. JEV was first isolated in 1924 in Japan.",Infectious disease
H01534,Western equine encephalitis,"Western equine encephalitis is an infection of the central nervous system caused by Western equine encephalitis virus (WEEV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. WEEV was first isolated in 1930 in California, USA.",Infectious disease
H01535,Eastern equine encephalitis,"Eastern equine encephalitis is an infection of the central nervous system caused by Eastern equine encephalitis virus (EEEV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. EEEV was first isolated in 1933 in Virginia, USA.",Infectious disease
H01536,Murray Valley encephalitis,"Murray Valley encephalitis, previously known as Australian encephalitis, is an infection of the central nervous system caused by Murray Valley encephalitis virus (MVEV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. MVEV was first isolated in 1951 in Australia.",Infectious disease
H01537,La Crosse encephalitis,"La Crosse encephalitis is an infection of the central nervous system caused by La Crosse virus (LACV), a phlebovirus in the order Bunyavirales of -ssRNA viruses, and transmitted by Aedes mosquitoes. LACV belongs to the serogroup of California encephalitis virus, which was first isolated in 1943 in California.",Infectious disease
H01538,Hendra virus infection,"Hendra virus (HeV) is an enveloped, single-stranded negative sense RNA virus that is a prototype member of the genus Henipavirus in the family Paramyxoviridae. HeV is a zoonotic virus that emerged in 1994 in the Brisbane suburb of Hendra, Queensland, Australia. HeV causes severe respiratory and neurological disease. The known natural reservoir hosts of HeV are several species of pteropid fruit bats.",Infectious disease
H01539,Nipah virus infection,"Nipah virus (NiV) is an enveloped, single-stranded negative sense RNA virus that is a prototype member of the genus Henipavirus in the family Paramyxoviridae. NiV is a zoonotic virus that emerged in Malaysia and Singapore in 1998-1999 causing a large outbreak of encephalitis with high mortality in people and also respiratory disease in pigs which served as amplifying hosts. The known natural reservoir hosts of NiV are several species of pteropid fruit bats.",Infectious disease
H01540,Chikungunya fever,"Chikungunya fever is an infectious disease caused by Chikungunya virus (CHIKV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Aedes mosquitoes. CHIKV was first recognized as a human pathogen during the 1950s in Africa, but it may have caused outbreaks from as early as the 1700s.",Infectious disease
H01541,Argentine hemorrhagic fever,"Argentine hemorrhagic fever is an infectious disease caused by Junin virus (JUNV), a New World arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. JUNV was first isolated in 1958 in Argentine.",Infectious disease
H01542,Bolivian hemorrhagic fever,"Bolivian hemorrhagic fever is an infectious disease caused by Machupo virus (MACV), a New World arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. MACV was first isolated in 1963 in Bolivia.",Infectious disease
H01543,Venezuelan hemorrhagic fever,"Venezuelan hemorrhagic fever is an infectious disease caused by Guanarito virus (GTOV), a New World arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. GTOV was first isolated in 1989 in Venezuela.",Infectious disease
H01545,O'nyong-nyong fever,"O'nyong-nyong fever is an infectious disease caused by O'nyong-nyong virus (ONNV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Anopheles mosquitoes. ONNV was first isolated in 1959 in Uganda.",Infectious disease
H01546,Mayaro fever,"Mayaro fever is an infectious disease caused by Mayaro virus (MAYV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Haemagogus mosquitoes. MAYV was first isolated in 1954 in Trinidad.",Infectious disease
H01547,Venezuelan equine encephalitis,"Venezuelan equine encephalitis is an infection of the central nervous system caused by Venezuelan equine encephalitis virus (VEEV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Ochlerotatus mosquitoes. VEEV was first isolated in 1938 in Venezuela.",Infectious disease
H01548,West Nile fever,"West Nile fever is an infectious disease caused by West Nile virus (WNV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. WNV was first isolated in 1937 in Uganda.",Infectious disease
H01549,Rift Valley fever,"Rift Valley fever is an infectious disease caused by Rift Valley fever virus (RVFV), a phlebovirus in the order Bunyavirales of -ssRNA viruses, and transmitted by Aedes and Culex mosquitoes. RVFV was first isolated in 1931 in Kenya.",Infectious disease
H01550,Bunyamwera fever,"Bunyamwera fever is an infectious disease caused by Bunyamwera virus (BUNV), an orthobunyavirus in the order Bunyavirales of -ssRNA viruses, and transmitted by Aedes and Anopheles mosquitoes. BUNV was first isolated in 1943 in Uganda.",Infectious disease
H01553,Zika fever,"Zika fever is an infectious disease caused by Zika virus (ZIKV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Aedes mosquitoes. ZIKV was first isolated in 1947 in the Zika Forest of Uganda.",Infectious disease
H01555,Merkel cell carcinoma,"Merkel cell carcinoma (MCC) is a cutaneous neuroendocrine malignancy that exhibits clinically aggressive features and is associated with a poor prognosis. Ultraviolet (UV) radiation may be a cause, and corresponds with the sites of these tumours, often on sun-exposed skin, mostly (94%) in the White population. UV light may exert local immunomodulating action as it decreases amount of epidermal T cells and Langerhans cells, inducing hapten tolerance. Additionally, UV- specific mutations in TP53 and Harvey (Ha)-RAS genes are present in some MCC cell lines. Recently, the polyomavirus group has been linked with MCC. The MCC polyomavirus (MCPyV) has been isolated from MCC tissue and thought to be present in up to 80% of MCC. Tumorigenesis likely is caused by a number of sequential steps from viral integration into host DNA, mutagenic events, and specific immune responses.",Cancer
H01560,Alkhumra hemorrhagic fever,"Alkhumra hemorrhagic fever is a severe, often fatal, infectious disease caused by Alkhumra hemorrhagic fever virus (AHFV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Ixodoidea ticks. AHFV was first isolated in 1994-1995 in the Al Khumra district, Jeddah, Saudi Arabia. Full genome sequencing has indicated that AHFV is a distinct variant of Kyasanur Forest disease virus.",Infectious disease
H01563,HIV infection,"The human immunodeficiency virus (HIV) is a lentivirus (a subgroup of retrovirus) that causes HIV infection and over time acquired immunodeficiency syndrome (AIDS). Two types of HIV has been characterized. HIV-1 is the most virulent and pathogenic strain. Worldwide, the predominant virus is HIV-1. The relatively uncommon HIV-2 type is concentrated in West Africa and is rarely found elsewhere. Infection with HIV occurs by transfer of blood, semen, and breast milk. The identification of HIV as the causative agent of AIDS catalyzed efforts to develop antiviral agents. The licenced anti-HIV drugs fall into some categories: reverse transcriptase inhibitors (NRTIs and NNRTIs), integrase inhibitors, protease inhibitors (PIs), fusion inhibitors (FIs), and coreceptor inhibitors. The advent of highly active antiretroviral therapy (HAART) as the standard of care for the treatment of HIV infection was seminal in reducing the morbidity and mortality associated with HIV infection and progression to AIDS. Combination antiretroviral therapy dramatically suppresses HIV replication and reduces the plasma HIV-1 viral load, resulting in significant reconstitution of the immune system. Genetic susceptibility to HIV infection and AIDS progression is variable among individuals and populations, and in part genetically determined. Genetic variants of genes encoding HIV co-receptors and their chemokine ligands have been described, and some of these variants were associated with resistance to HIV infection and/or disease progression.",Infectious disease
