virus tax id,host tax id
40050,89252
40050,177093
40050,582580
185218,51953
1965064,107265
10497,6935
10497,9534
10497,9823
10497,9825
10497,41426
443876,9825
686262,9825
443878,9825
443878,265619
1945738,5341
387423,386106
944995,3670
944995,223347
1705092,3670
1705092,270145
1705092,1610811
1260769,3469
1260769,4100
1260769,68299
1260769,117272
1260769,188333
188333,68299
666636,68299
666636,188333
666636,320667
2755028,55598
1175505,4100
1175505,55843
912035,68299
912035,912033
743035,55597
743035,55598
743035,912033
635076,68299
912033,68299
2182585,68299
298650,68299
169687,68299
187850,3888
187850,1931111
185750,68299
1454227,183085
329288,68299
1329380,212256
298133,68299
222078,68299
1311625,34245
437063,4081
437061,55597
437061,55598
1407058,183063
2010316,4097
2010316,4565
2010316,68299
2010316,183085
2010316,188333
2010316,1174526
2010316,1914900
1468596,346391
1468596,455045
915293,4100
915293,68299
2010317,44560
2010317,68299
222079,4100
222079,68299
222441,68299
44560,3885
44560,4071
44560,4081
44560,4100
44560,68299
501251,50207
446569,4081
446569,7038
446569,68299
446569,446318
446318,4081
446318,68299
683735,668336
1512278,174182
1161931,1183401
2024261,358
2024262,358
2024264,358
2723769,1183400
2723773,1183400
41763,4565
41763,52152
208013,56364
10464,47767
1962501,7088
1580580,47767
1006583,7199
1006583,252607
1313215,9606
194965,9534
194965,9606
194965,9913
2016454,9646
2016455,9646
2016453,9646
2016447,1
2016448,9646
11582,9913
1692242,12922
2491018,35874
70566,9913
70566,9925
70566,9940
2200830,9534
2200830,9606
2200830,54292
2200830,134910
2163422,106112
11791,10090
1552846,139058
35252,9913
35252,9927
35252,101659
138184,59546
2219143,1
2219133,1
2219134,1
2219135,1
2219136,1
2219137,1
2219138,1
2219139,1
2219142,1
2885846,9853
1725367,9534
1725367,13204
629726,9606
28314,9665
998864,3879
1770265,3879
165250,3879
1306546,3879
12321,3827
12321,3847
12321,3864
12321,3869
12321,3879
12321,3885
12321,3888
12321,3916
12321,3917
12321,4045
12321,4072
12321,4081
12321,4097
12321,4113
12321,4236
12321,23113
12321,35936
12321,41386
12321,60916
12321,83862
12321,85293
12321,145753
12321,157662
2170538,3879
1985968,3879
44017,10090
44017,121387
515575,3660
172148,9534
172148,9606
172148,9940
172148,10090
172148,10116
172148,69826
452758,52818
1317107,52818
2058778,4679
2058779,4679
317027,4678
144752,48011
144752,48012
318843,7176
318843,8493
318843,8782
318843,9322
318843,9342
318843,9606
318843,9796
318843,9913
318843,9940
318843,10036
318843,2058948
1176035,9685
1176035,30538
2492658,59472
1945560,7160
1945560,9534
1945560,2912049
1945561,139055
1945561,325429
1945562,7160
1945562,562834
10570,9544
333767,9606
337043,9606
337042,9606
279383,278678
97469,7174
204073,4645
204073,94328
204073,125257
204073,188493
204073,230707
204073,251764
2212477,125261
2495433,9402
2495433,9403
2495433,9534
2495433,9606
2495433,9615
2495433,9823
2495433,9913
2495433,1562770
260374,44989
260374,45318
260374,59035
693450,3659
693450,4072
693450,4081
693450,4100
693450,59035
693450,227725
316983,3542
316983,3563
316983,3629
316983,3650
316983,3803
316983,4070
316983,4180
316983,4210
316983,4479
316983,56741
2212644,3885
2212644,3906
2212644,3917
2212644,4076
2212644,4097
2212644,4100
2212644,35625
2212644,35889
2212644,35939
2212644,56741
2212644,81866
2212644,200306
2212644,415160
2212644,1642833
429130,63459
429130,66262
429130,326744
85454,103543
447606,34245
337826,155013
2066695,5599
2066695,580240
483537,5599
1826822,1122867
1728964,1122867
1580606,29001
1766767,29001
1532031,160389
2729541,1656094
1300004,1004785
1300004,1004786
1300004,1004787
1300004,1774373
1300005,1004785
1300005,1004786
1300005,1004787
1300005,1774373
1300006,1004785
1300006,1004786
1300006,1004787
1300006,1774373
1300007,1004785
1300007,1004786
1300007,1004787
1300007,1774373
2704031,314275
2928692,232
2886894,9534
2886894,10090
241651,41550
241651,56196
241651,1053327
284687,4751
284689,4751
1195163,44989
260375,4100
260375,44989
260375,63459
260375,66262
1926500,9534
1926500,2746633
1417304,29715
217733,7962
217733,215237
265294,8305
1908805,9649
1344113,29078
465447,7959
465447,28800
465447,90988
1177630,3486
134632,88123
1941435,1
1941436,1
188539,9031
188539,9606
188539,10092
188539,10114
1661395,8324
28321,13123
28321,56594
28321,340055
1357732,103690
1529450,7160
1529450,9031
1529450,9534
1529450,9544
1529450,9606
1529450,9615
1529450,9685
1529450,9823
1529450,9838
1529450,9913
1529450,9986
1529450,10036
1529450,10090
1529450,10116
1529450,51876
1642852,37951
312275,3864
312275,3870
312275,3885
312275,3888
312275,3906
312275,3907
312275,3912
312275,3920
312275,4076
312275,4100
312275,4102
312275,49792
312275,49793
312275,81866
312275,118703
312275,299721
312275,1215880
104388,8830
2870363,8839
1542745,1
1542745,4100
73819,172790
1296569,4088
1296569,4113
1296569,81866
12259,4083
12259,4088
12259,4113
12259,81866
1980456,9534
1980456,137207
2094259,1
1398177,7959
1398177,13106
1398177,74940
1398177,90988
1398177,141262
1476485,175694
1738045,175694
1808970,48101
436007,46362
436007,357848
352882,258236
1420600,7936
150286,7936
150286,7937
904722,9534
904722,27675
273355,9534
273355,10090
1424613,107283
62099,121601
35308,10090
1769780,7165
1769780,7168
1769780,1518534
1903340,1
487311,7165
1465751,112268
2546222,58253
1398939,41429
2099336,247480
2006072,9238
2006072,9534
2006072,9913
2006072,30457
2006073,9534
2006073,9913
2006073,30457
2006074,9238
2006074,9534
2006074,9913
2006074,30457
1648481,1
1648482,1
1648483,1
1648484,1
1460071,7119
161494,7119
2065797,29661
664255,78377
268591,129554
31507,7088
1872708,278021
1608532,9555
50290,9505
209529,464929
1897732,307491
2005444,307491
1983569,7460
1983570,1
1100043,7460
168135,4045
2283236,6500
307461,7107
307461,13123
307461,29058
307461,39466
307461,706528
2170408,54292
1036963,10129
64280,61837
64280,105296
2059312,2034202
12175,3752
12175,3758
12175,3760
12175,23159
12175,23211
12175,36596
12175,36610
12175,114937
73494,3750
190808,3750
2843704,3750
1211388,3750
1737346,3750
101688,3750
2170544,3750
12319,3504
12319,3659
12319,3750
12319,13450
1779339,3750
2164102,3750
2164103,3750
12895,3750
325110,3750
325110,23211
325110,36596
28347,3752
35350,3752
35350,23159
35350,23211
35350,106566
2054409,3750
136418,3758
136418,3760
136418,4097
136418,4100
136418,36596
136418,42229
136418,46091
136418,63459
136418,81866
136418,200313
136418,434246
75387,36596
307677,88123
1343920,36596
1634476,1
2870389,9534
2870389,9718
1927013,658602
1927013,658607
1927013,658609
1927013,658610
1927013,658611
185782,28800
185782,90988
1715293,8839
1715293,8853
1884917,8833
1884917,8839
1849335,81970
12271,3486
12271,3555
12271,3567
12271,3659
12271,3747
12271,3885
12271,4081
12271,4093
12271,4097
12271,4146
12271,4283
12271,4513
12271,13596
12271,29760
12271,32247
12271,34270
12271,34272
12271,40749
12271,46112
12271,57918
12271,63459
12271,66262
12271,81734
12271,330163
12271,434243
190809,12271
190809,34270
190809,63459
196399,3486
196399,12271
196399,63459
857288,4513
857288,12271
857288,63459
857288,152274
1921009,108216
454757,63463
454757,126746
454757,126747
454757,184271
454757,206227
454757,276787
454757,276813
454757,276814
454757,1167121
454757,1620147
211977,109482
2293273,1
2293273,1
2293273,1
1972683,7182
1972683,1285602
416419,2248
41952,259022
2282642,1
2306727,184783
2306623,184783
1654603,184783
1518603,121589
406340,305
2079257,305
2169991,9606
2169991,10080
2169991,29095
2169991,56211
2169991,56212
1585924,3821
72201,13347
2018471,7160
2018471,317811
556524,124917
64303,9534
64303,43817
1457322,9534
1457322,13203
405558,4100
405558,264540
2201042,264540
257463,50475
1972716,264540
2170061,10090
2170061,1453431
1692243,458486
1133751,35608
2713256,1665
2015853,1771959
2027883,1771959
1772291,1771959
2419946,1665
2484217,1665
1796994,1771959
2015815,1771959
1772293,1771959
2488953,1771959
1701798,1771959
2419949,1665
1772294,1771959
1772295,1771959
2015834,1771959
2419950,1665
2419951,1665
1698361,1771959
2419955,37927
1772296,1771959
2686080,1771959
2419956,1665
1772326,1771959
2743905,1771959
1772297,1771959
1772298,1771959
2499003,1771959
1897428,1771959
1772300,1771959
2047760,1771959
1772302,1771959
1772327,1771959
1772303,1771959
2419958,1665
2315608,1771959
1796995,1771959
2419959,1665
1796996,1771959
2794944,1771959
1772304,1771959
2653270,1665
1772305,1771959
2488780,1665
2015860,1771959
2499008,1771959
2599828,1771959
2499009,1665
2743906,1771959
1772307,1771959
2484218,1665
2015839,1771959
1796997,1771959
2656526,1771959
2015865,1771959
1897429,1771959
2419965,1665
2024282,1771959
1772310,1771959
1772328,1771959
1772311,1771959
1772314,1771959
2250416,1771959
2024283,1771959
2510495,1665
1772315,1771959
1772319,1771959
2599838,1665
2047867,1771959
1414742,1667
1566993,1667
2593333,1665
2499021,1771959
1772322,1771959
2015873,1771959
2419970,1665
2603257,1771959
1131485,9417
1606497,40230
1606498,40230
1606499,40230
46075,53160
46075,58643
46075,59895
46075,75947
46075,122557
46075,174463
46075,200313
46075,268023
46076,59895
12142,59895
348894,3562
348894,3659
348894,3885
348894,4076
348894,4089
348894,4097
348894,4100
348894,4102
348894,4679
348894,35625
348894,35889
348894,46091
348894,63459
348894,66262
348894,81866
348894,221775
348894,300354
362830,64459
904698,10088
564878,106106
1027880,113195
1945850,102211
2249930,126866
351427,3760
351426,3760
351426,102107
351428,3760
1980458,62280
443746,4100
443746,4686
443746,63459
39681,4685
39681,4686
39681,63459
445435,4686
445435,63459
445435,130426
1087068,63131
1087070,63131
607716,746128
2250452,746128
2250469,746128
358008,3906
358008,40380
2164061,41047
1522179,33640
566308,9534
566308,9615
1671382,188338
568715,9606
858367,9606
858367,10116
683172,9606
1247114,9606
767521,9606
645687,9606
683174,9606
1247113,9606
1137931,9823
1611435,141292
1236391,9510
35243,9511
35243,9534
10380,9505
85618,9506
2315724,27406
37961,47741
1489836,8030
348296,8030
1711685,265785
1702121,265785
1873455,9825
44158,7158
1503929,1503040
674971,1907177
1474867,44056
2026601,59189
2026601,376584
90961,446910
190810,29760
46015,7088
1810950,59655
1239437,9103
1239439,8839
1239439,9103
1891747,13146
1891747,232655
1891747,285011
341671,9031
219704,9031
219704,9534
219704,93934
281492,9031
11870,9091
11958,9031
11958,9091
93465,9031
1002273,9031
2364132,1
2907992,9031
284515,9031
11946,9031
11864,9031
363745,9031
1401444,9031
2560310,9031
2560310,107377
2560313,9031
2560313,9534
2560313,9606
2560313,9615
2560313,9823
2560313,9913
2560313,9986
2560313,10036
2560313,93934
2560314,8910
2560315,9534
2560315,13146
2560316,8843
2560316,9031
2560317,8782
2560317,8930
2560317,9103
2560317,9534
2560317,9606
2560317,10026
2560318,8853
2560318,9031
2560318,9606
38525,9534
227731,8855
227731,9534
519376,9103
519376,9534
11866,9031
11867,9031
11868,9031
336960,9031
2560319,8839
2560319,9031
2560320,8838
2560320,9031
2560326,8839
2560326,9031
2560326,9534
2560326,10036
38170,9031
2560327,9103
1928005,9534
1983777,9031
1983777,279940
28274,75857
1401445,8847
1401445,9031
1401445,9534
1401445,9606
1401445,9615
1401445,9913
1401445,10036
862945,9031
862945,9534
862945,79626
2006690,8832
2006690,8838
2006690,8839
2006690,9031
2006690,75839
2006690,75854
11874,9031
11878,9031
11878,93934
1844928,1
691956,8839
318490,9072
2849512,9103
1766559,9031
12896,3435
12896,128608
1941437,1
1618232,98293
1618233,98293
1618233,453440
1618234,549457
1618235,98293
1618236,98293
1618236,453440
1618237,549457
1618238,549457
1618239,98293
1618240,98293
1618241,1
1618242,453440
1618243,98293
1618244,549457
1618245,549457
1618246,549457
1618247,549457
1618248,549457
1618249,98293
1618249,453440
1618249,549457
1618250,549457
1618251,549457
1618252,549457
1618253,549457
1618254,98293
1618255,98293
1618256,98293
1618257,549457
1618258,98293
1618259,549457
1618260,98293
1618260,453440
1476487,217170
2756242,9940
1920526,511435
467481,192
2060511,3649
2060511,35926
2060511,63459
2060511,66262
2060511,126820
2060511,262696
48540,8782
1298385,9555
153301,9555
153301,9556
153301,9606
153301,10090
153301,36229
11764,9554
11764,9565
75888,9534
75888,9556
1379694,1
458639,1428
2785079,391289
2880539,1396
2880537,1189615
2880538,1392
1815509,224308
1874000,29339
1698451,29339
1141133,1396
1126949,1396
1567487,1218173
236750,1428
2756144,29339
1296654,1396
1296654,526970
57477,1396
294382,79879
1136534,1396
1118064,86661
584892,1396
1126950,1396
1129192,1396
1126951,1396
1983461,1396
1983461,1430
1983461,29339
1983461,260799
1852564,1428
1406781,29339
2880540,1408
1527469,1408
1445810,1408
1445811,1408
1277886,1396
1277886,1405
1277886,1428
1277886,29339
1277886,226900
1277886,526980
1136731,1396
2283013,1402
2283013,1423
1194641,1428
1486657,1428
1406783,1423
2072797,1428
347966,261591
1874001,29339
1391188,1396
2880541,1189615
1792245,1053197
1873341,1396
1873341,1405
1805948,29339
1873999,29339
2500808,1396
2500809,1396
2500810,1396
2777318,1396
1776293,1404
2880542,1189615
1486658,29339
1486658,224308
1690431,29339
345922,1392
345922,1396
2884419,1189615
2884420,1404
2679898,1409
2679898,1423
347962,1396
359962,1392
359962,1396
359962,526977
1273743,1189615
307240,1428
2884421,1408
1406785,1423
2736266,1409
1486659,1428
1981931,1396
1981931,1430
1981931,29339
1981931,226900
1981931,412694
1486660,1472
1486660,29339
2884422,1428
1498212,226900
1296655,1396
2023949,29339
2591398,29339
1873998,29339
2023950,1396
1540090,1404
1486661,1428
1309583,1405
1796993,1409
1540091,1404
1805950,29339
10753,224308
1805951,29339
1805952,29339
1406786,1404
1406786,545693
1406786,1006007
1597966,1404
1540092,1404
1675598,1404
1161901,1396
2884423,1423
1868598,1396
1868598,334406
1868599,1396
1868599,334406
1075161,1430
225725,1396
225726,1396
10717,1423
2884424,1423
1643324,1396
1643324,1428
1643326,1396
1643326,1428
1204533,1408
1357713,1428
207656,1423
1124578,339854
1805953,29339
547228,86029
1406789,1404
1406789,545693
1406789,1006007
1540093,1404
1406787,1404
10757,1423
1909400,1396
1909400,260799
2884426,1408
1486662,1428
1805954,29339
1837830,1428
1837830,1434
1837830,226900
1837830,412694
1837830,1279365
1983413,1392
1983413,1396
1983413,29339
1983413,180856
1983413,226900
1983413,260799
1983413,412694
1296656,1396
1796992,1409
1285382,1423
1285382,564286
1406790,1404
941058,1423
1792032,1423
1792032,766760
2932878,1408
2932878,1423
1497851,1423
2884427,1423
1406791,29339
10724,1423
1610832,1404
1406792,1404
1406792,545693
1610833,1404
1874002,1428
2884430,1478
2884430,1189615
2795746,29339
565140,1396
1382932,29339
1690456,1396
1690456,1428
1690456,29339
1690456,260799
1308863,1392
2419618,246272
1195072,1396
1759525,1396
1775140,79882
2593638,592022
2662127,1408
2662128,1408
1933063,1390
1933063,1402
1933063,1423
1933063,86029
1933063,224308
1933063,279010
1933063,315750
1933063,535026
1807511,1423
1807511,224308
1807511,535026
2315470,1261129
2565501,1428
1868826,527022
2884431,1444
1445809,529121
2022474,326423
1734382,1396
764595,1396
1510440,29339
2885908,1392
2885908,526977
2283012,1434
2801480,315750
663237,1392
1805956,29339
396034,391289
10778,1423
2495532,1396
2495532,1408
2495532,1423
2495532,293387
340054,572265
2664196,246200
2905721,45888
1589751,1464
2905681,83333
2905681,498388
2662138,321
2662138,323
2592161,624
2592161,67825
2592161,511145
1589753,1464
1105171,817
99179,817
2301731,329854
2709317,371601
2710495,226186
1634484,9662
1980609,7160
1980609,7176
1980609,7177
1980609,162997
1980609,162998
64290,10090
932699,310513
1534467,7157
1534467,7160
1534467,10090
1534467,37951
1986118,51751
1972684,7160
1972684,42427
1805494,7160
1805494,7177
1805494,9267
1805494,9606
1805494,10036
1805494,162997
1805494,162998
35286,4513
35286,58923
190811,35286
190811,58168
190811,63459
2305270,53275
1229324,1
45661,4641
45661,89151
2169721,4641
2169721,12585
2169721,89151
2169722,4641
2169722,12585
2169722,89151
2169723,4641
2169723,12585
2169723,89151
12585,4641
12585,89151
148879,214693
1016852,46838
328670,214693
1016853,46838
1476909,4640
328671,4640
328671,4641
328671,89151
1016854,46838
1016855,46838
1016856,46838
1016857,46838
69577,89151
334778,214697
1411991,4641
1411991,214693
307671,89151
479058,120735
500654,65612
1737522,47230
1737522,447135
2756244,447135
649604,7178
649604,9606
649604,9823
649604,9913
649604,182211
38837,9606
38837,10112
38837,36483
38837,1678250
2170132,58024
759938,40830
759938,98391
43761,8255
43761,8267
43761,80720
43761,98923
2230896,77160
2230900,77166
497862,4565
12466,4513
12327,4513
12327,4565
1825924,4513
224578,4498
2169980,4513
2169987,568969
2169988,568969
2169984,4498
2169984,4513
2169984,4521
2169984,4522
2169984,4530
2169984,4550
2169984,4565
2169984,4577
2169984,146531
2169985,4513
2169986,4498
2169986,4513
2169986,4521
2169986,4522
2169986,4530
2169986,4550
2169986,4565
2169986,4577
2169986,146531
2169981,4513
12465,4513
1985699,4565
1985699,195883
11020,9312
11020,9534
11020,9606
11020,10090
11020,59117
11020,162997
380438,10117
380438,72859
380438,1027255
1987017,9606
1930507,1
1384490,3589
373398,46150
1803394,1
1906170,9397
1906172,9397
1906173,9823
1906175,10116
727962,203696
696069,59473
696069,59474
2758098,9534
2758098,9606
2758098,9615
2758098,9823
2758098,203696
2758098,225399
1868218,59479
2560339,186990
1868219,59479
2003310,61862
2003311,59477
2003312,89399
2003313,203696
2169823,59479
1987736,1
1987738,1
2050585,1
2050586,1
2050587,1
1987731,1
1987732,1
1987733,1
1987734,1
627538,334201
627576,187003
627584,187003
627585,187003
1958785,1
1958786,1
1195167,9433
1329649,188568
2259810,1
2259811,187007
1329650,105273
1572237,9397
1572237,9438
1572239,9397
1572239,9438
1508220,1
1508220,77214
389230,258959
393767,438766
393768,258934
864596,519037
1384461,59463
1283333,478698
424360,258959
424361,258959
424362,258959
424364,105295
424365,105295
424366,105295
875612,9408
875613,9408
424368,9408
424369,9408
424370,9408
875614,9408
875615,9408
1283332,159858
389166,59479
389167,196889
795381,1
1958784,1
1325446,258867
1987143,907075
1987139,291301
1541205,188569
1958778,1
2015376,27674
1788432,9402
1788432,9408
1788432,9534
1788432,9544
1788432,9606
1788432,9823
1788432,89399
1788433,9402
1788433,9408
1788433,9534
1788433,9544
1788433,9606
1788433,9823
1788433,89399
1788434,9433
1788435,9433
1986505,9408
1986506,9408
1788436,9402
1788436,9408
1788436,9534
1788436,9544
1788436,9606
1788436,9823
1788436,89399
2301732,77214
1112597,1
1281456,203696
1074863,9433
1074863,258934
1074863,258934
1074864,9433
1074864,105295
1074864,258934
1074865,89399
1074865,186990
2003500,1
2003500,9433
1221637,77214
2758131,9430
2758132,59476
2758136,27622
2758138,40233
1623687,1
1623684,1
2758139,132908
1623685,1
1623689,1
1623688,1
1623686,1
1340801,9407
1958777,1
1959930,1
1185359,334201
741997,89399
741998,89399
741999,89399
742000,89399
742001,89399
742002,89399
742003,89399
742004,89399
742005,89399
742006,89399
347537,59479
347536,196889
1415834,89399
1415851,89399
1415852,9534
1415852,9606
1415852,9823
1415852,89399
1888311,1
80942,1263930
611709,10090
880159,1075084
880160,1075084
64306,7160
64306,10036
64306,58060
64306,58065
376820,75985
1980459,9606
1980459,37020
1035662,959
1127515,959
145579,959
77856,9223
77856,116991
67082,9534
67082,184063
2720886,3847
2720886,3885
31602,3883
31602,4097
31602,4100
31602,33129
31602,145753
1227354,3885
1227355,3885
1227355,4076
43240,3885
12196,138955
29276,138955
10838,3847
10838,3885
10839,3847
10839,3885
220340,3884
220340,3885
220340,108453
220340,260885
222445,3885
222447,3885
222449,3885
222449,260885
2703869,3885
2703869,4100
2004460,3885
12041,3827
12041,3864
12041,3879
12041,3906
1033976,3885
1033976,300354
12260,3847
12260,3885
12260,53866
12260,53892
12260,60916
12260,157652
12260,1715245
128790,3847
2169732,3885
267970,3885
57119,3702
57119,3885
57119,4076
57119,4081
57119,4097
57119,4100
714310,3885
12197,3469
12197,3818
12197,3828
12197,3847
12197,3873
12197,3879
12197,3885
12197,3888
12197,3899
12197,3900
12197,3906
12197,3908
12197,4627
12197,35938
12197,49747
12197,52517
12197,57577
12197,58987
12197,60916
12197,74517
12197,78534
12197,97047
192848,42520
1670662,103695
1819301,10090
1819301,469759
1740646,55169
1740646,176275
1054649,176275
1685109,176275
1485922,176275
59305,10095
1682186,7460
2094260,444401
196375,3555
196375,3562
196375,4236
196375,45318
196375,46091
196375,63459
196375,66262
196375,300354
298965,66262
298965,196375
131082,3562
131082,3719
131082,161934
131082,325515
131082,669655
509923,161934
912029,161934
29257,161934
391228,3555
501371,3555
501372,3555
1277443,3562
1277443,3702
1277443,4081
1277443,4100
1277443,40321
1277443,161934
1277443,643112
501373,3555
10840,3562
10840,3650
10840,3885
10840,4005
10840,4071
10840,4081
10840,4113
10840,161934
268961,4097
268961,4100
268956,3562
268956,3719
268956,3885
268956,4097
268956,4100
268956,161934
156690,3562
156690,3719
156690,3721
156690,13274
156690,46146
156690,76276
156690,161934
156690,325515
114921,3562
114921,161934
31721,3562
31721,45318
31721,161934
31721,343494
72750,3747
72750,4100
72750,57918
72750,101015
72750,161934
191547,3603
191547,3885
191547,4045
191547,4081
191547,4113
191547,4236
191547,4681
191547,13305
191547,23216
191547,35938
191547,38871
191547,39639
191547,161934
76343,3555
46436,63459
46436,161934
71972,161934
198589,3715
198589,3719
198589,3726
12042,3555
12042,3562
12042,3712
12042,4236
35290,4236
35290,50207
12161,161934
302069,62079
302070,62079
588752,662553
1922352,1
1922353,1
1922354,1
1922354,1
1922355,1
1922355,1
1922356,1
1922357,1
1922359,1
1922360,1
1922361,1
1922362,1
1922365,1
1922366,1
1922367,1
1746057,1
1922368,1
1922370,1
1922376,1
1922379,1
1922379,1
1922379,1
1922381,1
1922381,1
1922387,1
1922387,1
1922385,1
1922385,1
1922386,1
1922386,1
1922386,1
1922388,1
1922390,1
1922391,1
1922392,1
1922392,1
1922392,1
1922393,1
1922428,1
1922428,75390
1922429,1
1922429,75390
1922430,1
1922430,75390
1922431,1
1922431,75390
1922432,1
1922432,75390
1922433,1
1922433,75390
1922434,1
1922435,1
1922436,1
1922437,1
1922438,1
1922439,1
1922440,1
1922441,1
1922442,1
1922443,1
1922444,1
1922444,72801
1922445,1
1922446,1
1922447,1
1922448,1
1922449,1
1922449,72801
1922450,1
1922451,1
1922452,1
1922452,75390
1922454,1
1922455,1
1922456,1
1922458,1
1922460,1
1922461,1
1922350,1
1922351,1
1922464,1
1922464,6744
1922471,1
1922483,1
1922487,1
1922492,1
1922493,1
1922496,1
1922497,1
1922498,1
1922499,1
1922504,1
1922513,1
1922524,1
1922525,1
1922527,1
1922528,1
1922529,1
1922530,1
1922531,1
1922532,1
1922533,1
1922533,693201
1922534,1
1922535,1
1922536,1
1922538,1
1922539,1
1922539,75390
1922540,1
1922541,1
1922541,75390
1922542,1
1922542,75390
1922543,1
1922544,1
1922545,1
1922546,1
1922547,1
1922548,1
1922549,1
1922550,1
1922551,1
1922552,1
1922552,693201
1922553,1
1922554,1
1922556,1
1922557,1
1922558,1
1922559,1
1922560,1
1922561,1
1922561,6744
1922562,1
1922563,1
1922563,6744
1922564,1
1922566,1
1922567,1
1922569,1
1922569,27813
1922570,1
1922571,1
1922573,1
1922575,1
1922576,1
1922578,1
1922582,1
1922583,1
1922584,1
1922585,1
1922585,6744
1922586,1
1922586,72801
1922587,1
1922588,1
1922588,75390
1922589,1
1922590,1
1922591,1
1922591,72801
1922592,1
1922593,1
1922594,1
1922595,1
1922596,1
1922596,72801
1922597,1
1922598,1
1922599,1
1922600,1
1922601,1
1922602,1
1922603,1
1922604,1
1922605,1
1922606,1
1922607,1
1922608,1
1922609,1
1922610,1
1922611,1
1922612,1
1922613,1
1922614,1
1922615,1
1922616,1
1922617,1
1922617,6744
1922618,1
1922618,75390
1922619,1
1922620,1
1922621,1
1922622,1
1922624,1
1922626,1
1922627,1
1922628,1
1922629,1
1922630,1
1922631,1
1922632,1
1922632,6675
1922633,1
1922634,1
1922634,6744
1922636,1
1922637,1
1922638,1
1922638,6744
1922639,1
1922641,1
1922644,1
1922644,6744
