ko,name
"cgr","Candida glabrata"
"pgu","Meyerozyma guilliermondii"
"caur","Candida auris"
"cgi","Cryptococcus gattii"
"T40073","Human herpesvirus 1"
"T40074","Human herpesvirus 2"
"T40078","Human herpesvirus 3"
"T40080","Human herpesvirus 5 (Human cytomegalovirus)"
"T40075","Human herpesvirus 6B"
"T40076","Human herpesvirus 7"
"T40072","JC polyomavirus"
"T40337","Human mastadenovirus A"
"T40100","Human mastadenovirus B"
"T40338","Human mastadenovirus C"
"T40102","Human mastadenovirus D"
"T40101","Human mastadenovirus E"
"T40339","Human mastadenovirus F"
"T40082","Variola virus"
"T40083","Monkeypox virus"
"T40344","Poliovirus 1"
"T40345","Poliovirus 2"
"T40346","Poliovirus 3"
"T40022","Rabies virus (RABV)"
"T40023","Australian bat lyssavirus"
"T40024","European bat lyssavirus 1"
"T40025","European bat lyssavirus 2"
"T40052","Japanese encephalitis virus"
"T40327","Saint Louis encephalitis virus"
"T40055","Murray Valley encephalitis virus"
"T40329","Rocio virus"
"T40053","Western equine encephalitis virus"
"T40054","Eastern equine encephalitis virus"
"T40028","Venezuelan equine encephalitis virus"
"T40056","La Crosse virus"
"T40060","Powassan virus"
"T40061","Tick-borne encephalitis virus"
"T40048","Dengue virus 1"
"T40373","Dengue virus 2"
"T40374","Dengue virus 3"
"T40375","Dengue virus 4"
"T40057","Yellow fever virus"
"T40029","West Nile virus"
"T40049","Zika virus"
"T40026","Chikungunya virus"
"T40027","O'nyong-nyong virus"
"T40032","Mayaro virus"
"T40071","Ross River virus"
"T40030","Rift Valley fever virus"
"T40031","Bunyamwera virus"
"T40062","Oropouche virus"
"T40058","Omsk hemorrhagic fever virus"
"T40328","Kyasanur forest disease virus"
"T40050","Alkhumra hemorrhagic fever virus"
"T40065","Apoi virus"
"T40064","Sandfly fever Naples virus"
"T40096","SFTS virus HB29"
"T40063","Colorado tick fever virus"
"T40005","Junin mammarenavirus"
"T40006","Machupo mammarenavirus"
"T40007","Guanarito mammarenavirus"
"T40008","Sabia mammarenavirus"
"T40010","Lassa mammarenavirus"
"T40077","Macacine herpesvirus 1"
"mho","Mycoplasma hominis"
"uue","Ureaplasma urealyticum"
"T40016","Hantaan virus"
"T40017","Seoul virus"
"T40018","Dobrava-Belgrade virus"
"T40019","Puumala virus"
"T40020","Sin Nombre virus"
"T40021","Andes virus"
"T40358","Bayou virus"
"T40046","Hendra virus"
"T40047","Nipah virus"
"T40103","Enterovirus A"
"T40104","Enterovirus B"
"T40105","Enterovirus C"
"T40106","Enterovirus D"
"T40033","Measles virus"
"T40070","Rubella virus"
"T40034","Mumps virus"
"T40035","Influenza A virus (A/Puerto Rico/8/1934(H1N1))"
"T40036","Influenza A virus (A/Korea/426/1968(H2N2))"
"T40037","Influenza A virus (A/New York/392/2004(H3N2))"
"T40038","Influenza A virus (A/Hong Kong/1073/99(H9N2))"
"T40039","Influenza B virus"
"T40040","Influenza C virus (C/Ann Arbor/1/50)"
"T40041","Influenza A virus (A/goose/Guangdong/1/1996(H5N1))"
"T40350","Influenza A virus (A/Shanghai/02/2013(H7N9))"
"T40043","Human parainfluenza virus 1"
"T40042","Human parainfluenza virus 2"
"T40044","Human parainfluenza virus 3"
"T40122","Human parainfluenza virus 4"
"T40045","Human respiratory syncytial virus"
"T40069","SARS coronavirus"
"T40084","Human parvovirus B19"
"T40015","Marburg marburgvirus"
"T40002","Human immunodeficiency virus 2 (HIV-2)"
"T40068","Hepatovirus A"
"T40085","Hepatitis delta virus"
"T40067","Hepatitis E virus (HEV)"
"bre","Borrelia recurrentis"
"bdu","Borrelia duttonii"
"btu","Borrelia turicatae"
"bcw","Borrelia crocidurae"
"bcoi","Borrelia coriaceae"
"bmo","Borrelia miyamotoi"
"tgo","Toxoplasma gondii"
"tva","Trichomonas vaginalis"
"T40092","Rotavirus A"
"T40123","Human rotavirus B"
"T40094","Rotavirus C"
"req","Rhodococcus equi"
"aun","Aerococcus urinae"
"mul","Mycobacterium ulcerans"
"smm","Schistosoma mansoni"
"shx","Schistosoma haematobium"
"gbr","Gordonia bronchialis"
"tpr","Tsukamurella paurometabola"
"tsm","Tsukamurella tyrosinosolvens"
"cun","Corynebacterium ulcerans"
"T40124","Molluscum contagiosum virus"
"phu","Pediculus humanus corporis (body louse)"
"ccm","Capnocytophaga canimorsus"
"bmic","Babesia microti"
"bbo","Babesia bovis"
"bbig","Babesia bigemina"
"aje","Histoplasma capsulatum"
"T40095","Human metapneumovirus"
"sng","Simkania negevensis"
"bpt","Bordetella petrii"
"vfu","Vibrio furnissii"
"mct","Moraxella catarrhalis"
"aha","Aeromonas hydrophila"
"acav","Aeromonas caviae"
"bhz","Bordetella hinzii"
"bbr","Bordetella bronchiseptica"
"bmy","Brugia malayi"
"nai","Necator americanus"
"tsp","Trichinella spiralis"
"loa","Loa loa"
"aph","Anaplasma phagocytophilum"
"nse","Neorickettsia sennetsu"
"ech","Ehrlichia chaffeensis"
"egl","Echinococcus granulosus"
"gbe","Granulibacter bethesdensis"
"sha","Staphylococcus haemolyticus"
"ssp","Staphylococcus saprophyticus"
"smf","Streptobacillus moniliformis"
"erh","Erysipelothrix rhusiopathiae"
"abe","Trichophyton benhamiae"
"tve","Trichophyton verrucosum"
"cim","Coccidioides immitis"
"cpw","Coccidioides posadasii"
"T40107","Norovirus"
"T40091","Lymphocytic choriomeningitis mammarenavirus"
"T40331","Coxsackievirus A16"
"T40343","Enterovirus A71"
"afm","Aspergillus fumigatus"
"afv","Aspergillus flavus"
"act","Aspergillus clavatus"
"pbn","Paracoccidioides brasiliensis"
"pbl","Paracoccidioides lutzii"
"hif","Haemophilus influenzae biogroup aegyptius"
"ccu","Cryptobacterium curtum"
"hhm","Helicobacter heilmannii"
"mgl","Malassezia globosa"
"ecu","Encephalitozoon cuniculi"
"ein","Encephalitozoon intestinalis"
"lhk","Laribacter hongkongensis HLHK9"
"eab","Escherichia coli ABU 83972"
"plf","Pantoea ananatis"
"mmk","Morganella morganii subsp. morganii KT"
"cvi","Chromobacterium violaceum ATCC 12472"
"msym","Malassezia sympodialis"
"hil","Haemophilus influenzae (nontypeable)"
"abu","Arcobacter butzleri"
"gvg","Gardnerella vaginalis"
"rsv","Rickettsia slovaca"
"btk","Bacillus thuringiensis"
"ser","Staphylococcus epidermidis"
"lgv","Lactococcus garvieae"
"coc","Capnocytophaga ochracea"
"fnu","Fusobacterium nucleatum"
"tde","Treponema denticola"
"tpk","Treponema putidum"
"trm","Treponema sp. OMZ 838"
"ols","Olsenella uli"
"svi","Saccharomonospora viridis"
"hav","Hafnia alvei"
"T40097","Human papillomavirus type 6b"
"T40098","Human papillomavirus type 10"
"T40090","Middle East respiratory syndrome coronavirus"
"T40334","Human enterovirus 70"
"T40332","Human coxsackievirus A24"
"sez","Streptococcus equi"
"sam","Staphylococcus aureus"
"std","Streptococcus pseudopneumoniae"
"scf","Streptococcus parasanguinis"
"eav","Enterococcus avium"
"nbr","Nocardia brasiliensis"
"nda","Nocardiopsis dassonvillei"
"saun","Staphylococcus aureus"
"mchi","Mycobacterium chimaera"
"mmi","Mycobacterium marinum"
"mmm","Mycobacterium sp. MOTT36Y"
"mhad","Mycobacterium haemophilum"
"mshg","Mycobacterium shigaense"
"mfj","Mycobacterium florentinum"
"msto","Mycobacterium stomatepiae"
"mnv","Mycobacterium noviomagense"
"mseo","Mycobacterium seoulense"
"mhek","Mycobacterium heckeshornense"
"mgau","Mycobacterium gallinarum"
"mdr","Mycobacterium doricum"
"mche","Mycobacterium chelonae"
"mjd","Mycobacterium sp. JDM601"
"maic","Mycolicibacterium aichiense"
"mij","Mycolicibacterium insubricum"
"malv","Mycolicibacterium alvei"
"maub","Mycolicibacterium aubagnense"
"mphu","Mycolicibacterium phocaicum"
"mcee","Mycolicibacterium celeriflavum"
"fva","Fusobacterium varium"
"mtl","Mycobacterium tuberculosis"
"bbu","Borrelia burgdorferi"
"ssck","Sporothrix schenckii"
"bgh","Blastomyces gilchristii"
"T40051","Merkel cell polyomavirus (MCPyV)"
"mrt","Malassezia restricta"
"T40330","Chapare mammarenavirus"
"T40333","Lujo mammarenavirus"
"T40359","Cowpox virus"
"T40360","Vaccinia virus"
"T40126","Orf virus"
"rak","Rickettsia akari"
"sapo","Scedosporium apiospermum"
"tmf","Talaromyces marneffei"
"T40361","SARS-CoV-2"
"clec","Cimex lectularius"
"tasa","Trichosporon asahii"
"T40366","Rhinovirus A"
"T40367","Rhinovirus B"
"T40368","Rhinovirus C"
"T40362","Human coronavirus OC43"
"T40363","Human coronavirus HKU1"
"T40364","Human coronavirus 229E"
"T40365","Human coronavirus NL63"
"T40369","Jamestown Canyon virus"
"T40371","Cache Valley virus"
